"Strain",".y.","group1","group2","estimate","conf.low","conf.high","p.adj","p.adj.signif","Significance"
"HS","OD660_avg","HS RS +20AA","HS RS +11AA +R +C +W",-0.203666666666667,-0.423092819143652,0.0157594858103185,0.063,"ns","ns"
"HS","OD660_avg","HS RS +20AA","HS RS +11AA +R +C",-0.541888888888889,-0.927028868451679,-0.156748909326099,0.018,"*","*"
"HS","OD660_avg","HS RS +20AA","HS RS +11AA +R +W",-0.471333333333333,-1.14158189478479,0.198915228118127,0.113,"ns","ns"
"HS","OD660_avg","HS RS +20AA","HS RS +11AA +W +C",-1.26188888888889,-1.68851555966082,-0.83526221811696,0.002,"**","**"
"HS","OD660_avg","HS RS +20AA","HS RS +11AA +R",-0.359555555555556,-0.589680604612633,-0.129430506498479,0.01,"**","**"
"HS","OD660_avg","HS RS +20AA","HS RS +11AA +C",-1.27666666666667,-1.52052787113987,-1.03280546219346,0.000143,"***","***"
"HS","OD660_avg","HS RS +20AA","HS RS +11AA +W",-1.32711111111111,-1.54886183037028,-1.10536039185194,0.000111,"***","***"
"HS","OD660_avg","HS RS +11AA +R +C +W","HS RS +11AA +R +C",-0.338222222222222,-0.751331337914934,0.0748868934704896,0.082,"ns","ns"
"HS","OD660_avg","HS RS +11AA +R +C +W","HS RS +11AA +R +W",-0.267666666666667,-0.985103164219858,0.449769830886524,0.349,"ns","ns"
"HS","OD660_avg","HS RS +11AA +R +C +W","HS RS +11AA +W +C",-1.05822222222222,-1.51837892906141,-0.598065515383033,0.006,"**","**"
"HS","OD660_avg","HS RS +11AA +R +C +W","HS RS +11AA +R",-0.155888888888889,-0.360751769329827,0.0489739915520488,0.116,"ns","ns"
"HS","OD660_avg","HS RS +11AA +R +C +W","HS RS +11AA +C",-1.073,-1.30242724593072,-0.843572754069283,0.000355,"***","***"
"HS","OD660_avg","HS RS +11AA +R +C +W","HS RS +11AA +W",-1.12344444444444,-1.30853344607348,-0.93835544281541,8.82e-05,"****","***"
"HS","OD660_avg","HS RS +11AA +R +C","HS RS +11AA +R +W",0.0705555555555555,-0.52406581278551,0.665176923896621,0.992,"ns","ns"
"HS","OD660_avg","HS RS +11AA +R +C","HS RS +11AA +W +C",-0.72,-1.15108492039759,-0.288915079602412,0.008,"**","**"
"HS","OD660_avg","HS RS +11AA +R +C","HS RS +11AA +R",0.182333333333333,-0.208454195865978,0.573120862532644,0.319,"ns","ns"
"HS","OD660_avg","HS RS +11AA +R +C","HS RS +11AA +C",-0.734777777777778,-1.11720636314174,-0.352349192413817,0.007,"**","**"
"HS","OD660_avg","HS RS +11AA +R +C","HS RS +11AA +W",-0.785222222222222,-1.18848330571705,-0.381961138727397,0.008,"**","**"
"HS","OD660_avg","HS RS +11AA +R +W","HS RS +11AA +W +C",-0.790555555555555,-1.38228062544126,-0.198830485669851,0.02,"*","*"
"HS","OD660_avg","HS RS +11AA +R +W","HS RS +11AA +R",0.111777777777778,-0.571097698077249,0.794653253632804,0.884,"ns","ns"
"HS","OD660_avg","HS RS +11AA +R +W","HS RS +11AA +C",-0.805333333333333,-1.46788692105779,-0.142779745608881,0.031,"*","*"
"HS","OD660_avg","HS RS +11AA +R +W","HS RS +11AA +W",-0.855777777777778,-1.55974501609557,-0.151810539459988,0.032,"*","*"
"HS","OD660_avg","HS RS +11AA +W +C","HS RS +11AA +R",0.902333333333333,0.468234713532941,1.33643195313373,0.006,"**","**"
"HS","OD660_avg","HS RS +11AA +W +C","HS RS +11AA +C",-0.0147777777777778,-0.437456224421908,0.407900668866352,1,"ns","ns"
"HS","OD660_avg","HS RS +11AA +W +C","HS RS +11AA +W",-0.0652222222222222,-0.514295922246572,0.383851477802127,0.947,"ns","ns"
"HS","OD660_avg","HS RS +11AA +R","HS RS +11AA +C",-0.917111111111111,-1.15425076194582,-0.679971460276405,0.000322,"***","***"
"HS","OD660_avg","HS RS +11AA +R","HS RS +11AA +W",-0.967555555555556,-1.17666852091689,-0.758442590194225,0.000215,"***","***"
"HS","OD660_avg","HS RS +11AA +C","HS RS +11AA +W",-0.0504444444444445,-0.281038416617209,0.18014952772832,0.903,"ns","ns"
