"Strain",".y.","group1","group2","estimate","conf.low","conf.high","p.adj","p.adj.signif","Significance"
"HS","OD660_avg","HS RS +20AA","HS RS +11AA +R +C +W",-0.426555555555555,-0.828581126067727,-0.0245299850433833,0.041,"*","*"
"HS","OD660_avg","HS RS +20AA","HS RS +11AA +R +C",-0.429666666666667,-0.788572835790562,-0.0707604975427711,0.029,"*","*"
"HS","OD660_avg","HS RS +20AA","HS RS +11AA +R +W",-0.437,-0.796661200582767,-0.0773387994172327,0.028,"*","*"
"HS","OD660_avg","HS RS +20AA","HS RS +11AA +W +C",-1.03666666666667,-1.51674425836196,-0.556589074971372,0.012,"*","*"
"HS","OD660_avg","HS RS +20AA","HS RS +11AA +R",-0.408888888888889,-0.844587907391684,0.0268101296139061,0.057,"ns","ns"
"HS","OD660_avg","HS RS +20AA","HS RS +11AA +C",-0.976333333333333,-1.33453066996281,-0.618135996703861,0.002,"**","**"
"HS","OD660_avg","HS RS +20AA","HS RS +11AA +W",-1.02477777777778,-1.39099613172759,-0.658559423827962,0.001,"***","***"
"HS","OD660_avg","HS RS +11AA +R +C +W","HS RS +11AA +R +C",-0.00311111111111118,-0.388023267797962,0.38180104557574,1,"ns","ns"
"HS","OD660_avg","HS RS +11AA +R +C +W","HS RS +11AA +R +W",-0.0104444444444445,-0.396609453993691,0.375720565104802,1,"ns","ns"
"HS","OD660_avg","HS RS +11AA +R +C +W","HS RS +11AA +W +C",-0.610111111111111,-1.12228865198874,-0.0979335702334795,0.035,"*","*"
"HS","OD660_avg","HS RS +11AA +R +C +W","HS RS +11AA +R",0.0176666666666666,-0.451601037370729,0.486934370704062,1,"ns","ns"
"HS","OD660_avg","HS RS +11AA +R +C +W","HS RS +11AA +C",-0.549777777777778,-0.933327123824454,-0.166228431731102,0.017,"*","*"
"HS","OD660_avg","HS RS +11AA +R +C +W","HS RS +11AA +W",-0.598222222222222,-0.983153296553472,-0.213291147890973,0.011,"*","*"
"HS","OD660_avg","HS RS +11AA +R +C","HS RS +11AA +R +W",-0.0073333333333333,-0.257019807668862,0.242353141002195,1,"ns","ns"
"HS","OD660_avg","HS RS +11AA +R +C","HS RS +11AA +W +C",-0.607,-0.913394629199005,-0.300605370800995,0.013,"*","*"
"HS","OD660_avg","HS RS +11AA +R +C","HS RS +11AA +R",0.0207777777777778,-0.235972355690393,0.277527911245949,0.997,"ns","ns"
"HS","OD660_avg","HS RS +11AA +R +C","HS RS +11AA +C",-0.546666666666667,-0.802937854821177,-0.290395478512156,0.003,"**","**"
"HS","OD660_avg","HS RS +11AA +R +C","HS RS +11AA +W",-0.595111111111111,-0.90226466810236,-0.287957554119862,0.005,"**","**"
"HS","OD660_avg","HS RS +11AA +R +W","HS RS +11AA +W +C",-0.599666666666667,-0.898726622540419,-0.300606710792914,0.012,"*","*"
"HS","OD660_avg","HS RS +11AA +R +W","HS RS +11AA +R",0.0281111111111111,-0.221381529030849,0.277603751253071,0.982,"ns","ns"
"HS","OD660_avg","HS RS +11AA +R +W","HS RS +11AA +C",-0.539333333333333,-0.793073901496873,-0.285592765169794,0.003,"**","**"
"HS","OD660_avg","HS RS +11AA +R +W","HS RS +11AA +W",-0.587777777777778,-0.894409595469749,-0.281145960085806,0.006,"**","**"
"HS","OD660_avg","HS RS +11AA +W +C","HS RS +11AA +R",0.627777777777778,0.516849987896064,0.738705567659491,0.000123,"***","***"
"HS","OD660_avg","HS RS +11AA +W +C","HS RS +11AA +C",0.0603333333333333,-0.255559002300872,0.376225668967538,0.712,"ns","ns"
"HS","OD660_avg","HS RS +11AA +W +C","HS RS +11AA +W",0.0118888888888889,-0.396992009267935,0.420769787045713,1,"ns","ns"
"HS","OD660_avg","HS RS +11AA +R","HS RS +11AA +C",-0.567444444444444,-0.833659780044013,-0.301229108844876,0.007,"**","**"
"HS","OD660_avg","HS RS +11AA +R","HS RS +11AA +W",-0.615888888888889,-0.977318829492759,-0.254458948285019,0.015,"*","*"
"HS","OD660_avg","HS RS +11AA +C","HS RS +11AA +W",-0.0484444444444445,-0.35655231051813,0.259663421629241,0.978,"ns","ns"
