"Strain",".y.","group1","group2","estimate","conf.low","conf.high","p.adj","p.adj.signif","Significance"
"HA","OD660_avg","HA RS","HA RS +AA",2.04344444444444,1.55882718199629,2.5280617068926,0.002,"**","**"
"HA","OD660_avg","HA RS","HA RS +Glucose",0.575,0.186932743750405,0.963067256249595,0.019,"*","*"
"HA","OD660_avg","HA RS","HA RS +Glycerol",0.618333333333333,0.214240803051208,1.02242586361546,0.017,"*","*"
"HA","OD660_avg","HA RS","HA RS +Glucose +Glycerol",0.763111111111111,0.528065112132438,0.998157110089784,0.001,"***","***"
"HA","OD660_avg","HA RS +AA","HA RS +Glucose",-1.46844444444444,-1.9043353312542,-1.03255355763469,0.000613,"***","***"
"HA","OD660_avg","HA RS +AA","HA RS +Glycerol",-1.42511111111111,-1.86463559175559,-0.985586630466633,0.000685,"***","***"
"HA","OD660_avg","HA RS +AA","HA RS +Glucose +Glycerol",-1.28033333333333,-1.71751756963742,-0.843149097029246,0.002,"**","**"
"HA","OD660_avg","HA RS +Glucose","HA RS +Glycerol",0.0433333333333333,-0.352206962305699,0.438873628972366,0.984,"ns","ns"
"HA","OD660_avg","HA RS +Glucose","HA RS +Glucose +Glycerol",0.188111111111111,-0.169242175742905,0.545464397965127,0.263,"ns","ns"
"HA","OD660_avg","HA RS +Glycerol","HA RS +Glucose +Glycerol",0.144777777777778,-0.225231315281052,0.514786870836607,0.447,"ns","ns"
