"Strain",".y.","group1","group2","estimate","conf.low","conf.high","p.adj","p.adj.signif","Significance"
"HA","OD660_avg","HA RS","HA RS +AA",1.94455555555556,1.42817037726043,2.46094073385068,0.002,"**","**"
"HA","OD660_avg","HA RS","HA RS +Glucose",0.881111111111111,0.310693297938511,1.45152892428371,0.018,"*","*"
"HA","OD660_avg","HA RS","HA RS +Glycerol",0.764777777777778,0.562040433680694,0.967515121874862,0.000349,"***","***"
"HA","OD660_avg","HA RS","HA RS +Glucose +Glycerol",0.994444444444444,0.726041069133707,1.26284781975518,0.000626,"***","***"
"HA","OD660_avg","HA RS +AA","HA RS +Glucose",-1.06344444444444,-1.59805237548031,-0.528836513408583,0.004,"**","**"
"HA","OD660_avg","HA RS +AA","HA RS +Glycerol",-1.17977777777778,-1.69607435048062,-0.663481205074932,0.006,"**","**"
"HA","OD660_avg","HA RS +AA","HA RS +Glucose +Glycerol",-0.950111111111111,-1.4267915356868,-0.473430686535422,0.006,"**","**"
"HA","OD660_avg","HA RS +Glucose","HA RS +Glycerol",-0.116333333333333,-0.686655949792443,0.453989283125776,0.742,"ns","ns"
"HA","OD660_avg","HA RS +Glucose","HA RS +Glucose +Glycerol",0.113333333333333,-0.410670375565579,0.637337042232246,0.784,"ns","ns"
"HA","OD660_avg","HA RS +Glycerol","HA RS +Glucose +Glycerol",0.229666666666667,-0.038736708532488,0.498070041865821,0.079,"ns","ns"
