"Strain",".y.","group1","group2","estimate","conf.low","conf.high","p.adj","p.adj.signif","Significance"
"HM","OD660_avg","HM RS","HM RS +AA",0.0436666666666667,-0.20057658062536,0.287909913958693,0.864,"ns","ns"
"HM","OD660_avg","HM RS","HM RS +Glucose",0.371,0.163442465953197,0.578557534046803,0.009,"**","**"
"HM","OD660_avg","HM RS","HM RS +Glycerol",0.454222222222222,0.0311522416405894,0.877292202803855,0.043,"*","*"
"HM","OD660_avg","HM RS","HM RS -AA +Glucose +Glycerol",0.536777777777778,0.409228889731668,0.664326665823888,0.000255,"***","***"
"HM","OD660_avg","HM RS +AA","HM RS +Glucose",0.327333333333333,0.0837581122418583,0.570908554424808,0.018,"*","*"
"HM","OD660_avg","HM RS +AA","HM RS +Glycerol",0.410555555555556,0.0405758444860523,0.780535266625059,0.037,"*","*"
"HM","OD660_avg","HM RS +AA","HM RS -AA +Glucose +Glycerol",0.493111111111111,0.24262086745372,0.743601354768502,0.008,"**","**"
"HM","OD660_avg","HM RS +Glucose","HM RS +Glycerol",0.0832222222222223,-0.293375224844256,0.459819669288701,0.784,"ns","ns"
"HM","OD660_avg","HM RS +Glucose","HM RS -AA +Glucose +Glycerol",0.165777777777778,-0.0457137717187789,0.377269327274334,0.095,"ns","ns"
"HM","OD660_avg","HM RS +Glycerol","HM RS -AA +Glucose +Glycerol",0.0825555555555555,-0.350825760421727,0.515936871532838,0.744,"ns","ns"
