"Strain",".y.","group1","group2","estimate","conf.low","conf.high","p.adj","p.adj.signif","Significance"
"HM","OD660_avg","HM RS","HM RS +AA",-0.000111111111111117,-0.242594273932763,0.242372051710541,1,"ns","ns"
"HM","OD660_avg","HM RS","HM RS +Glucose",0.422666666666667,0.114525953659955,0.730807379673378,0.026,"*","*"
"HM","OD660_avg","HM RS","HM RS +Glycerol",0.323333333333333,0.263986401939175,0.382680264727492,0.000131,"***","***"
"HM","OD660_avg","HM RS","HM RS +Glucose +Glycerol",0.313666666666667,0.252025625538691,0.375307707794642,0.000175,"***","***"
"HM","OD660_avg","HM RS +AA","HM RS +Glucose",0.422777777777778,0.172579940231451,0.672975615324104,0.008,"**","**"
"HM","OD660_avg","HM RS +AA","HM RS +Glycerol",0.323444444444444,0.0873868480942102,0.559502040794679,0.025,"*","*"
"HM","OD660_avg","HM RS +AA","HM RS +Glucose +Glycerol",0.313777777777778,0.0800260540678741,0.547529501487682,0.026,"*","*"
"HM","OD660_avg","HM RS +Glucose","HM RS +Glycerol",-0.0993333333333333,-0.401332105417386,0.20266543875072,0.392,"ns","ns"
"HM","OD660_avg","HM RS +Glucose","HM RS +Glucose +Glycerol",-0.109,-0.408718807472967,0.190718807472967,0.341,"ns","ns"
"HM","OD660_avg","HM RS +Glycerol","HM RS +Glucose +Glycerol",-0.0096666666666666,-0.0742892887533495,0.0549559554200163,0.954,"ns","ns"
