"Strain",".y.","group1","group2","estimate","conf.low","conf.high","p.adj","p.adj.signif","Significance"
"HS","OD660_avg","HS RS","HS RS +AA",1.35655555555556,1.11124214357332,1.60186896753779,0.000219,"***","***"
"HS","OD660_avg","HS RS","HS RS +Glucose",-0.0437777777777778,-0.18406950891192,0.0965139533563642,0.398,"ns","ns"
"HS","OD660_avg","HS RS","HS RS +Glycerol",-0.0198888888888889,-0.20506891157301,0.165291133795232,0.912,"ns","ns"
"HS","OD660_avg","HS RS","HS RS +Glucose +Glycerol",-0.0413333333333333,-0.150045194471043,0.0673785278043761,0.307,"ns","ns"
"HS","OD660_avg","HS RS +AA","HS RS +Glucose",-1.40033333333333,-1.58953439589295,-1.21113227077372,4.22e-05,"****","***"
"HS","OD660_avg","HS RS +AA","HS RS +Glycerol",-1.37644444444444,-1.56428719281555,-1.18860169607334,4.46e-05,"****","***"
"HS","OD660_avg","HS RS +AA","HS RS +Glucose +Glycerol",-1.39788888888889,-1.59584622332385,-1.19993155445392,2.93e-05,"****","***"
"HS","OD660_avg","HS RS +Glucose","HS RS +Glycerol",0.0238888888888889,-0.11962124674786,0.167399024525638,0.928,"ns","ns"
"HS","OD660_avg","HS RS +Glucose","HS RS +Glucose +Glycerol",0.00244444444444444,-0.108593900626945,0.113482789515834,1,"ns","ns"
"HS","OD660_avg","HS RS +Glycerol","HS RS +Glucose +Glycerol",-0.0214444444444444,-0.165127969248499,0.12223908035961,0.934,"ns","ns"
