"Strain",".y.","group1","group2","estimate","conf.low","conf.high","p.adj","p.adj.signif","Significance"
"HS","OD660_avg","HS RS","HS RS +AA",1.01711111111111,0.70066842701714,1.33355379520508,0.002,"**","**"
"HS","OD660_avg","HS RS","HS RS +Glucose",0.0171111111111111,-0.318705687458922,0.352927909681144,0.998,"ns","ns"
"HS","OD660_avg","HS RS","HS RS +Glycerol",-0.00355555555555556,-0.224940384754235,0.217829273643124,1,"ns","ns"
"HS","OD660_avg","HS RS","HS RS -AA +Glucose +Glycerol",0.00655555555555556,-0.160148560297451,0.173259671408562,1,"ns","ns"
"HS","OD660_avg","HS RS +AA","HS RS +Glucose",-1,-1.34115189390392,-0.658848106096081,0.000957,"***","***"
"HS","OD660_avg","HS RS +AA","HS RS +Glycerol",-1.02066666666667,-1.32596524589649,-0.715368087436844,0.000794,"***","***"
"HS","OD660_avg","HS RS +AA","HS RS -AA +Glucose +Glycerol",-1.01055555555556,-1.32993463336401,-0.6911764777471,0.002,"**","**"
"HS","OD660_avg","HS RS +Glucose","HS RS +Glycerol",-0.0206666666666667,-0.34089189091162,0.299558557578287,0.997,"ns","ns"
"HS","OD660_avg","HS RS +Glucose","HS RS -AA +Glucose +Glycerol",-0.0105555555555555,-0.349671008176705,0.328559897065594,1,"ns","ns"
"HS","OD660_avg","HS RS +Glycerol","HS RS -AA +Glucose +Glycerol",0.0101111111111111,-0.211315214646295,0.231537436868517,0.999,"ns","ns"
