"Family","Strain","Mean_completeness","Complete_AAs","Total_AAs"
"3PG FAMILY","HS",63.8888888888889,0,3
"3PG FAMILY","HM",63.8888888888889,0,3
"3PG FAMILY","HA",63.8888888888889,0,3
"AROMATIC FAMILY","HS",83.3333333333333,1,3
"AROMATIC FAMILY","HM",83.3333333333333,1,3
"AROMATIC FAMILY","HA",83.3333333333333,1,3
"ASPARTATE FAMILY","HS",77.8950216450216,3,6
"ASPARTATE FAMILY","HM",90.7738095238095,4,6
"ASPARTATE FAMILY","HA",92.8571428571429,5,6
"GLUTAMATE FAMILY","HS",68.75,2,4
"GLUTAMATE FAMILY","HM",87.5,3,4
"GLUTAMATE FAMILY","HA",68.75,2,4
"HISTIDINE","HS",87.5,0,1
"HISTIDINE","HM",87.5,0,1
"HISTIDINE","HA",87.5,0,1
"PYRUVATE FAMILY","HS",12.5,0,3
"PYRUVATE FAMILY","HM",62.5,1,3
"PYRUVATE FAMILY","HA",62.5,1,3
