"strain_id","pathway_name","Category","gene_count"
"ha","Amino sugar/nucleotide sugar","Sugar derivatives",26
"ha","Butanoate","Short-chain FA",31
"ha","Fructose/mannose","Sugar metabolism",15
"ha","Galactose","Sugar metabolism",16
"ha","Glycerol","Glycerol",7
"ha","Glycerolipid","Lipid-related",11
"ha","Glycolysis/Gluconeogenesis","Central",48
"ha","Glyoxylate/dicarboxylate","Central",51
"ha","Inositol phosphate","Lipid-related",2
"ha","Pentose phosphate","Central",21
"ha","Pentose/glucuronate","Sugar metabolism",11
"ha","Propanoate","Short-chain FA",39
"ha","Pyruvate","Central",49
"ha","Starch/sucrose","Complex carbs",13
"ha","TCA cycle","Central",26
"hm","Amino sugar/nucleotide sugar","Sugar derivatives",23
"hm","Butanoate","Short-chain FA",24
"hm","Fructose/mannose","Sugar metabolism",10
"hm","Galactose","Sugar metabolism",13
"hm","Glycerol","Glycerol",4
"hm","Glycerolipid","Lipid-related",13
"hm","Glycolysis/Gluconeogenesis","Central",30
"hm","Glyoxylate/dicarboxylate","Central",39
"hm","Inositol phosphate","Lipid-related",5
"hm","Pentose phosphate","Central",19
"hm","Pentose/glucuronate","Sugar metabolism",5
"hm","Propanoate","Short-chain FA",25
"hm","Pyruvate","Central",31
"hm","Starch/sucrose","Complex carbs",10
"hm","TCA cycle","Central",22
"hs","Amino sugar/nucleotide sugar","Sugar derivatives",13
"hs","Butanoate","Short-chain FA",15
"hs","Fructose/mannose","Sugar metabolism",7
"hs","Galactose","Sugar metabolism",5
"hs","Glycerol","Glycerol",5
"hs","Glycerolipid","Lipid-related",14
"hs","Glycolysis/Gluconeogenesis","Central",31
"hs","Glyoxylate/dicarboxylate","Central",28
"hs","Inositol phosphate","Lipid-related",2
"hs","Pentose phosphate","Central",15
"hs","Pentose/glucuronate","Sugar metabolism",3
"hs","Propanoate","Short-chain FA",23
"hs","Pyruvate","Central",32
"hs","Starch/sucrose","Complex carbs",3
"hs","TCA cycle","Central",22
