"KO","name","definition","category"
"K00005","glycerol dehydrogenase [EC:1.1.1.6]",NA,"HS unique"
"K00404","cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]",NA,"HS unique"
"K00526","ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]",NA,"HS unique"
"K00772","5'-methylthioadenosine phosphorylase [EC:2.4.2.28]",NA,"HS unique"
"K00852","ribokinase [EC:2.7.1.15]",NA,"HS unique"
"K00857","thymidine kinase [EC:2.7.1.21]",NA,"HS unique"
"K00901","diacylglycerol kinase (ATP) [EC:2.7.1.107]",NA,"HS unique"
"K00926","carbamate kinase [EC:2.7.2.2]",NA,"HS unique"
"K00971","mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]",NA,"HS unique"
"K01026","propionate CoA-transferase [EC:2.8.3.1]",NA,"HS unique"
"K01077","alkaline phosphatase [EC:3.1.3.1]",NA,"HS unique"
"K01478","arginine deiminase [EC:3.5.3.6]",NA,"HS unique"
"K01546","potassium-transporting ATPase potassium-binding subunit",NA,"HS unique"
"K01547","potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]",NA,"HS unique"
"K01548","potassium-transporting ATPase KdpC subunit",NA,"HS unique"
"K01556","kynureninase [EC:3.7.1.3]",NA,"HS unique"
"K01589","5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]",NA,"HS unique"
"K01613","phosphatidylserine decarboxylase [EC:4.1.1.65]",NA,"HS unique"
"K01715","short-chain-enoyl-CoA hydratase [EC:4.2.1.150]",NA,"HS unique"
"K01974","RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]",NA,"HS unique"
"K02009","cobalt/nickel transport protein",NA,"HS unique"
"K02473","UDP-N-acetylglucosamine/UDP-N-acetyl-alpha-D-glucosaminouronate 4-epimerase [EC:5.1.3.7 5.1.3.45]",NA,"HS unique"
"K02892","large subunit ribosomal protein L23",NA,"HS unique"
"K03007","DNA-directed RNA polymerases I, II, and III subunit RPABC5",NA,"HS unique"
"K03051","DNA-directed RNA polymerase subunit F [EC:2.7.7.6]",NA,"HS unique"
"K03281","chloride channel protein, CIC family",NA,"HS unique"
"K03469","ribonuclease HI [EC:3.1.26.4]",NA,"HS unique"
"K03538","ribonuclease P protein subunit POP4 [EC:3.1.26.5]",NA,"HS unique"
"K03718","Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA",NA,"HS unique"
"K03753","molybdopterin-guanine dinucleotide biosynthesis adapter protein",NA,"HS unique"
"K05337","ferredoxin",NA,"HS unique"
"K05574","NAD(P)H-quinone oxidoreductase subunit 3 [EC:7.1.1.2]",NA,"HS unique"
"K05578","NAD(P)H-quinone oxidoreductase subunit 6 [EC:7.1.1.2]",NA,"HS unique"
"K06889","uncharacterized protein",NA,"HS unique"
"K07257","spore coat polysaccharide biosynthesis protein SpsF",NA,"HS unique"
"K07325","archaeal flagellin FlaB",NA,"HS unique"
"K07755","arsenite methyltransferase [EC:2.1.1.137]",NA,"HS unique"
"K08177","MFS transporter, OFA family, oxalate/formate antiporter",NA,"HS unique"
"K08221","MFS transporter, ACDE family, multidrug resistance protein",NA,"HS unique"
"K08678","UDP-glucuronate decarboxylase [EC:4.1.1.35]",NA,"HS unique"
"K09015","Fe-S cluster assembly protein SufD",NA,"HS unique"
"K09141","uncharacterized protein",NA,"HS unique"
"K09152","cell division protein SepF",NA,"HS unique"
"K09667","protein O-GlcNAc transferase [EC:2.4.1.255]",NA,"HS unique"
"K11069","spermidine/putrescine transport system substrate-binding protein",NA,"HS unique"
"K11070","spermidine/putrescine transport system permease protein",NA,"HS unique"
"K11071","spermidine/putrescine transport system permease protein",NA,"HS unique"
"K11072","spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11]",NA,"HS unique"
"K11928","sodium/proline symporter",NA,"HS unique"
"K12854","pre-mRNA-splicing helicase BRR2 [EC:5.6.2.6]",NA,"HS unique"
"K14645","serine protease [EC:3.4.21.-]",NA,"HS unique"
"K14835","25S rRNA (cytosine2870-C5)-methyltransferase [EC:2.1.1.310]",NA,"HS unique"
"K16692","tyrosine-protein kinase Etk/Wzc [EC:2.7.10.3]",NA,"HS unique"
"K17103","CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]",NA,"HS unique"
"K17104","phosphoglycerol geranylgeranyltransferase [EC:2.5.1.41]",NA,"HS unique"
"K17105","geranylgeranylglycerol-phosphate geranylgeranyltransferase [EC:2.5.1.42]",NA,"HS unique"
"K18118","succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]",NA,"HS unique"
"K18290","itaconyl-CoA hydratase [EC:4.2.1.56]",NA,"HS unique"
"K19244","alanine dehydrogenase [EC:1.4.1.1]",NA,"HS unique"
"K19302","undecaprenyl-diphosphatase [EC:3.6.1.27]",NA,"HS unique"
"K19813","glucose dehydrogenase [EC:1.1.5.9]",NA,"HS unique"
"K22870","zinc finger protein 423",NA,"HS unique"
"K23262","gas vesicle structural protein",NA,"HS unique"
"K23263","gas vesicle minor protein",NA,"HS unique"
"K23307","gas vesicle operon resressor",NA,"HS unique"
"K23315","chemotactic signal transduction system substrate-binding protein BasB",NA,"HS unique"
"K23347","probable Kdp system regulatory protein",NA,"HS unique"
"K23541","Ca2+/H+ antiporter, TMEM165/GDT1 family",NA,"HS unique"
"K23683","glycosyltransferase AglD [EC:2.4.1.-]",NA,"HS unique"
"K24956","protein archease",NA,"HS unique"
"K26284","S-layer glycoprotein",NA,"HS unique"
