"Category","KO","GhostKOALA","eggNOG","Both"
"DNA_replication","K02314",FALSE,FALSE,FALSE
"DNA_replication","K02315",FALSE,FALSE,FALSE
"DNA_replication","K02316",TRUE,TRUE,TRUE
"DNA_replication","K02337",FALSE,FALSE,FALSE
"Ribosomal","K02945",FALSE,FALSE,FALSE
"Ribosomal","K02946",TRUE,TRUE,TRUE
"Ribosomal","K02948",TRUE,TRUE,TRUE
"Ribosomal","K02950",TRUE,TRUE,TRUE
"Ribosomal","K02952",TRUE,TRUE,TRUE
"ATP_synthase","K02111",FALSE,FALSE,FALSE
"ATP_synthase","K02112",FALSE,FALSE,FALSE
"ATP_synthase","K02113",FALSE,FALSE,FALSE
"ATP_synthase","K02114",FALSE,FALSE,FALSE
"ATP_synthase","K02115",FALSE,FALSE,FALSE
"Translation","K02355",FALSE,FALSE,FALSE
"Translation","K02358",FALSE,FALSE,FALSE
"Translation","K02992",TRUE,TRUE,TRUE
"Translation","K02994",TRUE,TRUE,TRUE
