"KO","name","definition"
"K03892","ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor",NA
"K03741","arsenate reductase (thioredoxin) [EC:1.20.4.4]",NA
"K01551","arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]",NA
"K02003","putative ABC transport system ATP-binding protein",NA
"K13993","HSP20 family protein",NA
"K05844","ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]",NA
"K02866","large subunit ribosomal protein L10e",NA
"K03799","heat shock protein HtpX [EC:3.4.24.-]",NA
"K07152","protein SCO1",NA
"K02877","large subunit ribosomal protein L15e",NA
"K07179","RIO kinase 2 [EC:2.7.11.1]",NA
"K04642","halorhodopsin",NA
"K03800","lipoate---protein ligase [EC:6.3.1.20]",NA
"K01151","deoxyribonuclease IV [EC:3.1.21.2]",NA
"K06885","uncharacterized protein",NA
"K01951","GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]",NA
"K03059","DNA-directed RNA polymerase subunit P [EC:2.7.7.6]",NA
"K01494","dCTP deaminase [EC:3.5.4.13]",NA
"K22206","XRE family transcriptional regulator, thiamine biosynthesis regulator",NA
"K03124","transcription initiation factor TFIIB",NA
"K01507","inorganic pyrophosphatase [EC:3.6.1.1]",NA
"K22222","tubulin-like protein CetZ",NA
"K07496","putative transposase",NA
"K06940","uncharacterized protein",NA
"K07045","uncharacterized protein",NA
"K04076","ATP-dependent Lon protease [EC:3.4.21.53]",NA
"K16306","fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]",NA
"K11646","3-dehydroquinate synthase II [EC:1.4.1.24]",NA
"K00873","pyruvate kinase [EC:2.7.1.40]",NA
"K07101","uncharacterized protein",NA
"K28349","cell division protein A",NA
"K07059","rhomboid family protease [EC:3.4.21.105]",NA
"K05982","deoxyribonuclease V [EC:3.1.21.7]",NA
"K15172","transcription elongation factor SPT5",NA
"K03531","cell division protein FtsZ",NA
"K01715","short-chain-enoyl-CoA hydratase [EC:4.2.1.150]",NA
"K22969","glucose 1-dehydrogenase [EC:1.1.1.47]",NA
"K02036","phosphate transport system ATP-binding protein [EC:7.3.2.1]",NA
"K02037","phosphate transport system permease protein",NA
"K09759","nondiscriminating aspartyl-tRNA synthetase [EC:6.1.1.23]",NA
"K07729","putative transcriptional regulator",NA
"K00175","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]",NA
"K00174","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]",NA
"K09014","Fe-S cluster assembly protein SufB",NA
"K09015","Fe-S cluster assembly protein SufD",NA
"K03709","DtxR family transcriptional regulator, Mn-dependent transcriptional regulator",NA
"K03237","translation initiation factor 2 subunit 1",NA
"K02978","small subunit ribosomal protein S27e",NA
"K00759","adenine phosphoribosyltransferase [EC:2.4.2.7]",NA
"K05567","multicomponent Na+:H+ antiporter subunit C",NA
"K05566","multicomponent Na+:H+ antiporter subunit B",NA
"K05569","multicomponent Na+:H+ antiporter subunit E",NA
"K02635","cytochrome b6",NA
"K17105","geranylgeranylglycerol-phosphate geranylgeranyltransferase [EC:2.5.1.42]",NA
"K00794","6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]",NA
"K01588","5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]",NA
"K05574","NAD(P)H-quinone oxidoreductase subunit 3 [EC:7.1.1.2]",NA
"K13378","NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2]",NA
"K05578","NAD(P)H-quinone oxidoreductase subunit 6 [EC:7.1.1.2]",NA
"K00340","NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]",NA
"K00341","NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]",NA
"K02274","cytochrome c oxidase subunit I [EC:7.1.1.9]",NA
"K02275","cytochrome c oxidase subunit II [EC:7.1.1.9]",NA
"K02257","heme o synthase [EC:2.5.1.141]",NA
"K01992","ABC-2 type transport system permease protein",NA
"K08976","putative membrane protein",NA
"K01849","methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]",NA
"K11645","fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",NA
"K01990","ABC-2 type transport system ATP-binding protein",NA
"K06876","(6-4)DNA photolyase [EC:4.1.99.13]",NA
"K03147","phosphomethylpyrimidine synthase [EC:4.1.99.17]",NA
"K26937","MATE family, multidrug efflux pump",NA
"K00077","2-dehydropantoate 2-reductase [EC:1.1.1.169]",NA
"K06415","stage V sporulation protein R",NA
"K07180","serine protein kinase",NA
"K03306","inorganic phosphate transporter, PiT family",NA
"K17103","CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]",NA
"K01758","cystathionine gamma-lyase [EC:4.4.1.1]",NA
"K11069","spermidine/putrescine transport system substrate-binding protein",NA
"K01183","chitinase [EC:3.2.1.14]",NA
"K03752","molybdenum cofactor guanylyltransferase [EC:2.7.7.77]",NA
"K23348","HTH-type transcriptional regulator, dimethyl sulfoxide reductase transcription regulator",NA
"K00184","dimethyl sulfoxide reductase iron-sulfur subunit",NA
"K07579","putative methylase",NA
"K02500","imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]",NA
"K09731","uncharacterized protein",NA
"K03166","DNA topoisomerase VI subunit A [EC:5.6.2.2]",NA
"K07744","transcriptional regulator",NA
"K00757","uridine phosphorylase [EC:2.4.2.3]",NA
"K01489","cytidine deaminase [EC:3.5.4.5]",NA
"K23535","general nucleoside transport system permease protein",NA
"K23537","general nucleoside transport system ATP-binding protein",NA
"K02011","iron(III) transport system permease protein",NA
"K00135","succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]",NA
"K06873","uncharacterized protein",NA
