locus_tag,protein_id,product
QSJ49_RS00005,WP_010903688.1,ORC1-type DNA replication protein
QSJ49_RS00010,WP_205251169.1,ribose 5-phosphate isomerase A
QSJ49_RS00015,WP_010903690.1,DUF1931 family protein
QSJ49_RS00020,WP_010903691.1,GIY-YIG nuclease family protein
QSJ49_RS00025,WP_010903692.1,phosphoglucomutase/phosphomannomutase family protein
QSJ49_RS00030,WP_311735968.1,GNAT family N-acetyltransferase
QSJ49_RS00035,WP_012289475.1,ubiquitin-like small modifier protein 2
QSJ49_RS00040,WP_010903695.1,replication factor C small subunit
QSJ49_RS00045,WP_205251170.1,glutathione S-transferase family protein
QSJ49_RS00050,WP_229373372.1,DsbA family protein
QSJ49_RS00055,WP_205251172.1,alanine--tRNA ligase
QSJ49_RS00060,WP_136361599.1,phosphoribosyl-AMP cyclohydrolase
QSJ49_RS00065,WP_012289477.1,A24 family peptidase
QSJ49_RS00070,WP_205251173.1,methylaspartate mutase subunit S
QSJ49_RS00075,WP_205251174.1,methylaspartate mutase subunit E
QSJ49_RS00080,WP_205251175.1,methylaspartate ammonia-lyase
QSJ49_RS00085,WP_205251176.1,MaoC family dehydratase
QSJ49_RS00090,WP_205251177.1,acetyl-CoA hydrolase/transferase family protein
QSJ49_RS00095,WP_205251178.1,glycosyltransferase family 87 protein
QSJ49_RS00100,WP_010903707.1,ferredoxin Fer2
QSJ49_RS00105,WP_205251179.1,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
QSJ49_RS00110,WP_010903709.1,imidazoleglycerol-phosphate dehydratase HisB
QSJ49_RS00115,WP_205251180.1,hypothetical protein
QSJ49_RS00120,WP_012289478.1,amino acid-binding protein
QSJ49_RS00125,WP_012289479.1,hypothetical protein
QSJ49_RS00130,WP_010903713.1,YigZ family protein
QSJ49_RS00135,WP_010903714.1,hypothetical protein
QSJ49_RS00140,WP_010903715.1,NAD(P)/FAD-dependent oxidoreductase
QSJ49_RS00145,WP_205251181.1,S9 family peptidase
QSJ49_RS00150,WP_010903717.1,hypothetical protein
QSJ49_RS00155,WP_010903718.1,uracil phosphoribosyltransferase
QSJ49_RS00160,WP_010903719.1,DUF5828 family protein
QSJ49_RS00165,WP_010903720.1,inorganic phosphate transporter
QSJ49_RS00170,WP_235157223.1,hemolysin family protein
QSJ49_RS00175,WP_010903722.1,glutaredoxin
QSJ49_RS00180,WP_136361613.1,peroxiredoxin
QSJ49_RS00185,WP_338416957.1,hypothetical protein
QSJ49_RS00190,WP_338416958.1,hypothetical protein
QSJ49_RS00195,WP_010903724.1,L-threonylcarbamoyladenylate synthase
QSJ49_RS00200,WP_338416959.1,hypothetical protein
QSJ49_RS00205,WP_338416986.1,hypothetical protein
QSJ49_RS00210,WP_338416960.1,hypothetical protein
QSJ49_RS00215,WP_338416961.1,conditioned medium-induced protein 4
QSJ49_RS00220,WP_338416962.1,biotin transporter BioY
QSJ49_RS00225,WP_010903729.1,ABC transporter ATP-binding protein
QSJ49_RS00230,WP_012289483.1,energy-coupling factor transporter transmembrane component T
QSJ49_RS00235,WP_338416963.1,(Fe-S)-binding protein
QSJ49_RS00240,WP_235157192.1,GNAT family protein
QSJ49_RS00245,WP_235157189.1,hypothetical protein
QSJ49_RS00250,WP_136361622.1,porphobilinogen synthase
QSJ49_RS00255,WP_235157187.1,CPBP family intramembrane glutamic endopeptidase
QSJ49_RS00260,WP_235157184.1,glutamate-1-semialdehyde 2%2C1-aminomutase
QSJ49_RS00265,WP_338416964.1,hypothetical protein
QSJ49_RS00270,WP_136361626.1,hypothetical protein
QSJ49_RS00275,WP_338416965.1,hydroxymethylbilane synthase
QSJ49_RS00280,WP_338416966.1,uroporphyrinogen-III C-methyltransferase
QSJ49_RS00285,WP_338416967.1,uroporphyrinogen-III synthase
QSJ49_RS00290,WP_205251193.1,DHH family phosphoesterase
QSJ49_RS00295,WP_235157173.1,PAS domain-containing protein
QSJ49_RS00300,WP_012289487.1,DUF5783 family protein
QSJ49_RS00305,WP_010903744.1,NifU family protein
QSJ49_RS00310,WP_235157170.1,DNA-directed DNA polymerase II large subunit
QSJ49_RS00315,WP_205251211.1,PPC domain-containing DNA-binding protein
QSJ49_RS00320,WP_012289488.1,hypothetical protein
QSJ49_RS00325,WP_012289489.1,hypothetical protein
QSJ49_RS00330,WP_227970891.1,hypothetical protein
QSJ49_RS00335,WP_136361634.1,hypothetical protein
QSJ49_RS00340,WP_010903750.1,ABC transporter ATP-binding protein
QSJ49_RS00345,WP_235157166.1,ABC transporter ATP-binding protein
QSJ49_RS00350,WP_010903752.1,ABC transporter permease
QSJ49_RS00355,WP_235157159.1,ABC transporter permease
QSJ49_RS00360,WP_235157155.1,ABC transporter substrate-binding protein
QSJ49_RS00365,WP_010903755.1,CBS domain-containing protein
QSJ49_RS00370,WP_235157146.1,glycine--tRNA ligase
QSJ49_RS00375,WP_012289491.1,dolichol kinase
QSJ49_RS00380,WP_010903758.1,DEAD/DEAH box helicase
