locus_tag,protein_id,product
ACAH01_RS00005,WP_208627616.1,ORC1-type DNA replication protein
ACAH01_RS00010,WP_372479834.1,rhomboid family intramembrane serine protease
ACAH01_RS00015,WP_372479835.1,ribonuclease H-like domain-containing protein
ACAH01_RS00020,WP_372479836.1,ATP-dependent sacrificial sulfur transferase LarE
ACAH01_RS00025,WP_170093175.1,HAMP domain-containing sensor histidine kinase
ACAH01_RS00030,WP_372479837.1,twin-arginine translocase subunit TatC
ACAH01_RS00035,WP_170093173.1,twin-arginine translocase subunit TatC
ACAH01_RS00040,WP_015761970.1,ribbon-helix-helix domain-containing protein
ACAH01_RS00045,WP_170093172.1,maltose acetyltransferase domain-containing protein
ACAH01_RS00050,WP_153552197.1,hypothetical protein
ACAH01_RS00055,WP_372479838.1,DNA primase regulatory subunit PriL
ACAH01_RS00060,WP_208627608.1,beta-ketoacyl-ACP reductase
ACAH01_RS00065,WP_372479839.1,class III poly(R)-hydroxyalkanoic acid synthase subunit PhaC
ACAH01_RS00070,WP_170093168.1,poly(R)-hydroxyalkanoic acid synthase subunit PhaE
ACAH01_RS00075,WP_170093167.1,hypothetical protein
ACAH01_RS00080,WP_170093166.1,AbrB/MazE/SpoVT family DNA-binding domain-containing protein
ACAH01_RS00085,WP_174259131.1,MaoC family dehydratase
ACAH01_RS00090,WP_372479840.1,alpha/beta fold hydrolase
ACAH01_RS00095,WP_170093163.1,dihydrolipoyl dehydrogenase
ACAH01_RS00100,WP_372479841.1,hypothetical protein
ACAH01_RS00105,WP_170093161.1,prephenate dehydratase
ACAH01_RS00110,WP_170093160.1,Hsp20/alpha crystallin family protein
ACAH01_RS00115,WP_170093159.1,peroxiredoxin
ACAH01_RS00120,WP_372479842.1,signal peptidase I
ACAH01_RS00125,WP_170093158.1,hypothetical protein
ACAH01_RS00130,WP_170093157.1,ornithine cyclodeaminase family protein
ACAH01_RS00135,WP_372479843.1,universal stress protein
ACAH01_RS00140,WP_372479844.1,hypothetical protein
ACAH01_RS00145,WP_170093154.1,DUF2061 domain-containing protein
ACAH01_RS00150,WP_277347266.1,hypothetical protein
ACAH01_RS00155,WP_372479845.1,putative phosphothreonine lyase domain-containg protein
ACAH01_RS00160,WP_170095316.1,thermosome subunit alpha
ACAH01_RS00165,WP_153554778.1,KH domain-containing protein
