"strain_id","#query","eggNOG_OGs","KEGG_ko","KEGG_Pathway","EC","COG_category","Description"
"hs","WP_010902870.1","COG0334@1|root,arCOG01352@2157|Archaea,2XU0F@28890|Euryarchaeota,23S08@183963|Halobacteria","ko:K00261","ko00220,ko00250,ko00471,ko00910,ko01100,ko01200,ko04217,ko04964,map00220,map00250,map00471,map00910,map01100,map01200,map04217,map04964","1.4.1.3","E","Belongs to the Glu Leu Phe Val dehydrogenases family"
"hs","WP_205250656.1","COG0549@1|root,arCOG00863@2157|Archaea,2XTCB@28890|Euryarchaeota,23UZP@183963|Halobacteria","ko:K00926","ko00220,ko00230,ko00910,ko01100,ko01120,ko01200,map00220,map00230,map00910,map01100,map01120,map01200","2.7.2.2","E","Belongs to the carbamate kinase family"
"hs","WP_205251098.1","COG0174@1|root,arCOG01909@2157|Archaea,2XSYS@28890|Euryarchaeota,23SVV@183963|Halobacteria","ko:K01915","ko00220,ko00250,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727","6.3.1.2","E","glutamine synthetase"
"hs","WP_205251375.1","COG0334@1|root,arCOG01352@2157|Archaea,2XU0F@28890|Euryarchaeota,23S08@183963|Halobacteria","ko:K00261","ko00220,ko00250,ko00471,ko00910,ko01100,ko01200,ko04217,ko04964,map00220,map00250,map00471,map00910,map01100,map01200,map04217,map04964","1.4.1.3","E","Belongs to the Glu Leu Phe Val dehydrogenases family"
"hs","WP_205251581.1","COG0334@1|root,arCOG01352@2157|Archaea,2XU0F@28890|Euryarchaeota,23TBD@183963|Halobacteria","ko:K00261,ko:K00262","ko00220,ko00250,ko00471,ko00910,ko01100,ko01200,ko04217,ko04964,map00220,map00250,map00471,map00910,map01100,map01200,map04217,map04964","1.4.1.3,1.4.1.4","E","Belongs to the Glu Leu Phe Val dehydrogenases family"
"hs","WP_205251655.1","COG0288@1|root,arCOG02860@2157|Archaea,2XUWI@28890|Euryarchaeota,23UNB@183963|Halobacteria","ko:K01673","ko00910,map00910","4.2.1.1","P","carbonic anhydrase"
"hm","WP_153554133.1","COG0334@1|root,arCOG01352@2157|Archaea,2XU0F@28890|Euryarchaeota,23TBD@183963|Halobacteria","ko:K00261","ko00220,ko00250,ko00471,ko00910,ko01100,ko01200,ko04217,ko04964,map00220,map00250,map00471,map00910,map01100,map01200,map04217,map04964","1.4.1.3","E","Belongs to the Glu Leu Phe Val dehydrogenases family"
"hm","WP_170092688.1","COG0155@1|root,arCOG02055@2157|Archaea,2XT6K@28890|Euryarchaeota,23SAD@183963|Halobacteria","ko:K00366","ko00910,ko01120,map00910,map01120","1.7.7.1","P","COG0155 Sulfite reductase, beta subunit (hemoprotein)"
"hm","WP_170092854.1","COG0288@1|root,arCOG02860@2157|Archaea,2XUWI@28890|Euryarchaeota,23UNB@183963|Halobacteria","ko:K01673","ko00910,map00910","4.2.1.1","P","carbonic anhydrase"
"hm","WP_170092883.1","COG0334@1|root,arCOG01352@2157|Archaea,2XU0F@28890|Euryarchaeota,23S08@183963|Halobacteria","ko:K00261","ko00220,ko00250,ko00471,ko00910,ko01100,ko01200,ko04217,ko04964,map00220,map00250,map00471,map00910,map01100,map01200,map04217,map04964","1.4.1.3","E","Belongs to the Glu Leu Phe Val dehydrogenases family"
