"protein_id","gene","product","KO"
"WP_012807552.1","ACAH01_RS04460","prefoldin subunit beta","K04798"
"WP_012807557.1","ACAH01_RS04435","DNA-directed RNA polymerase subunit P","K03059"
"WP_012807646.1","ACAH01_RS04030","ABC transporter permease","K02033"
"WP_012807721.1","ACAH01_RS03720","thioesterase family protein","K07107"
"WP_012807767.1","ACAH01_RS03530","chemotaxis protein CheY","K03413"
"WP_012807829.1","ACAH01_RS03200","nickel-responsive transcriptional regulator NikR","K07722"
"WP_012807842.1","ACAH01_RS03130","co-chaperone YbbN","K03671"
"WP_012808023.1","ACAH01_RS02475","30S ribosomal protein S10","K02946"
"WP_012808036.1","ACAH01_RS02410","30S ribosomal protein S7","K02992"
"WP_012808037.1","ACAH01_RS02405","30S ribosomal protein S12","K02950"
"WP_015761596.1","ACAH01_RS02025","ABC transporter permease","K01992"
"WP_015761607.1","ACAH01_RS02080","stress response translation initiation inhibitor YciH","K03113"
"WP_015761633.1","ACAH01_RS01665","50S ribosomal protein L16","K02866"
"WP_015761681.1","ACAH01_RS00175","translation initiation factor eIF-1A","K03236"
"WP_015761698.1","ACAH01_RS00275","50S ribosomal protein L40e","K02927"
"WP_015761700.1","ACAH01_RS00285","TATA-box-binding protein","K03120"
"WP_015761792.1","ACAH01_RS00750","DUF2073 domain-containing protein","K09743"
"WP_015761793.1","ACAH01_RS00755","Era-like GTP-binding protein","K03595"
"WP_015761814.1","ACAH01_RS01400","Rid family detoxifying hydrolase","K09022"
"WP_015761835.1","ACAH01_RS01285","ferredoxin Fer","K02639"
"WP_015762143.1","ACAH01_RS14945","30S ribosomal protein S24e","K02974"
"WP_015762144.1","ACAH01_RS14940","30S ribosomal protein S27ae","K02977"
"WP_015762202.1","ACAH01_RS14590","50S ribosomal protein L39e","K02924"
"WP_015762244.1","ACAH01_RS14410","hypothetical protein","K02124"
"WP_015762293.1","ACAH01_RS14165","cold-shock protein","K03704"
"WP_015762509.1","ACAH01_RS13095","cold-shock protein","K03704"
"WP_015762510.1","ACAH01_RS13090","cold-shock protein","K03704"
"WP_015762562.1","ACAH01_RS12865","translation initiation factor IF-5A","K03263"
"WP_015762753.1","ACAH01_RS11985","30S ribosomal protein S8e","K02995"
"WP_015762786.1","ACAH01_RS11825","50S ribosomal protein L23","K02893"
"WP_015762787.1","ACAH01_RS11820","50S ribosomal protein L2","K02886"
"WP_015762789.1","ACAH01_RS11810","50S ribosomal protein L22","K02890"
"WP_015762791.1","ACAH01_RS11800","50S ribosomal protein L29","K02904"
"WP_015762793.1","ACAH01_RS11790","30S ribosomal protein S17","K02961"
"WP_015762794.1","ACAH01_RS11785","50S ribosomal protein L14","K02874"
"WP_015762799.1","ACAH01_RS11760","30S ribosomal protein S8","K02994"
"WP_015762803.1","ACAH01_RS11740","50S ribosomal protein L18","K02881"
"WP_015762804.1","ACAH01_RS11735","30S ribosomal protein S5","K02988"
"WP_015762852.1","ACAH01_RS11290","CopG family ribbon-helix-helix protein","K07722"
"WP_015762873.1","ACAH01_RS11190","NADH-quinone oxidoreductase subunit B","K03940"
"WP_015762876.1","ACAH01_RS11175","NADH-quinone oxidoreductase subunit I","K03941"
"WP_015762879.1","ACAH01_RS11160","NADH-quinone oxidoreductase subunit NuoK","K00340"
"WP_015762916.1","ACAH01_RS10975","DNA-directed RNA polymerase subunit L","K03056"
"WP_015763031.1","ACAH01_RS10410","succinate dehydrogenase%2C cytochrome b556 subunit","K00241"
"WP_015763051.1","ACAH01_RS10300","50S ribosomal protein L37e","K02922"
"WP_015763116.1","ACAH01_RS09980","thiamine pyrophosphate-dependent enzyme","K00175"
"WP_015763284.1","ACAH01_RS09115","transcription factor","K03136"
"WP_015763354.1","ACAH01_RS08510","ribosome assembly factor SBDS","K14574"
"WP_015763492.1","ACAH01_RS08280","superoxide dismutase","K04564"
"WP_015763537.1","ACAH01_RS07630","30S ribosomal protein S13","K02952"
"WP_015763539.1","ACAH01_RS07620","30S ribosomal protein S11","K02948"
"WP_015763541.1","ACAH01_RS07605","50S ribosomal protein L18e","K02883"
"WP_015763543.1","ACAH01_RS07595","30S ribosomal protein S9","K02996"
"WP_015763547.1","ACAH01_RS07575","30S ribosomal protein S2","K02967"
"WP_015763569.1","ACAH01_RS07470","50S ribosomal protein L7Ae","K02936"
"WP_015763570.1","ACAH01_RS07465","30S ribosomal protein S28e","K02979"
"WP_015763622.1","ACAH01_RS07200","50S ribosomal protein L21e","K02889"
"WP_015763623.1","ACAH01_RS07195","elongation factor 1-beta","K03232"
