"Pathway","KO","protein_id","gene","product","Description"
"map00010","K00382","WP_420183029.1","ACNO8S_RS19580","dihydrolipoyl dehydrogenase","Glycolysis / Gluconeogenesis"
"map00010","K01689","WP_050006905.1","ACNO8S_RS03700","phosphopyruvate hydratase","Glycolysis / Gluconeogenesis"
"map00010","K16306","WP_420181946.1","ACNO8S_RS11635","2-amino-3-2C7-dideoxy-D-threo-hept-6-ulosonate synthase","Glycolysis / Gluconeogenesis"
"map00010","K11645","WP_004962592.1","ACNO8S_RS04950","class I fructose-bisphosphate aldolase","Glycolysis / Gluconeogenesis"
"map00010","K25026","WP_420182637.1","ACNO8S_RS05840","ROK family protein","Glycolysis / Gluconeogenesis"
"map00010","K00001","WP_014039859.1","ACNO8S_RS04250","zinc-dependent alcohol dehydrogenase family protein","Glycolysis / Gluconeogenesis"
"map00010","K00134","WP_008307604.1","ACNO8S_RS13930","type I glyceraldehyde-3-phosphate dehydrogenase","Glycolysis / Gluconeogenesis"
"map00010","K00161","WP_420182312.1","ACNO8S_RS00405","pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha","Glycolysis / Gluconeogenesis"
"map00010","K15633","WP_420182443.1","ACNO8S_RS02695","2-2C3-bisphosphoglycerate-independent phosphoglycerate mutase","Glycolysis / Gluconeogenesis"
"map00010","K00128","WP_420183014.1","ACNO8S_RS19340","aldehyde dehydrogenase family protein","Glycolysis / Gluconeogenesis"
"map00010","K00382","WP_420182311.1","ACNO8S_RS00385","dihydrolipoyl dehydrogenase","Glycolysis / Gluconeogenesis"
"map00010","K00161","WP_050036575.1","ACNO8S_RS19565","pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha","Glycolysis / Gluconeogenesis"
"map00010","K00001","WP_420181986.1","ACNO8S_RS12070","zinc-dependent alcohol dehydrogenase family protein","Glycolysis / Gluconeogenesis"
"map00010","K01895","WP_420182656.1","ACNO8S_RS06085","AMP-binding protein","Glycolysis / Gluconeogenesis"
"map00010","K00128","WP_420181984.1","ACNO8S_RS12060","aldehyde dehydrogenase family protein","Glycolysis / Gluconeogenesis"
"map00010","K00150","WP_420182063.1","ACNO8S_RS13335","type II glyceraldehyde-3-phosphate dehydrogenase","Glycolysis / Gluconeogenesis"
"map00010","K01895","WP_064287173.1","ACNO8S_RS19260","acyl-CoA synthetase","Glycolysis / Gluconeogenesis"
"map00010","K00174","WP_151146412.1","ACNO8S_RS06390","2-oxoacid:acceptor oxidoreductase subunit alpha","Glycolysis / Gluconeogenesis"
"map00010","K00174","WP_014040648.1","ACNO8S_RS08820","2-oxoacid:acceptor oxidoreductase subunit alpha","Glycolysis / Gluconeogenesis"
"map00010","K00927","WP_050037149.1","ACNO8S_RS13935","phosphoglycerate kinase","Glycolysis / Gluconeogenesis"
"map00010","K01007","WP_014041022.1","ACNO8S_RS11260","phosphoenolpyruvate synthase","Glycolysis / Gluconeogenesis"
"map00010","K00627","WP_420183028.1","ACNO8S_RS19575","dihydrolipoamide acetyltransferase family protein","Glycolysis / Gluconeogenesis"
"map00010","K01895","WP_050037520.1","ACNO8S_RS01725","acetate--CoA ligase","Glycolysis / Gluconeogenesis"
"map00010","K03841","WP_004960905.1","ACNO8S_RS08225","class 1 fructose-bisphosphatase","Glycolysis / Gluconeogenesis"
"map00010","K00175","WP_151103327.1","ACNO8S_RS06395","2-oxoacid:ferredoxin oxidoreductase subunit beta","Glycolysis / Gluconeogenesis"
"map00010","K00873","WP_050038287.1","ACNO8S_RS05835","pyruvate kinase","Glycolysis / Gluconeogenesis"
"map00010","K00175","WP_008313341.1","ACNO8S_RS08825","thiamine pyrophosphate-dependent enzyme","Glycolysis / Gluconeogenesis"
"map00010","K00128","WP_014039867.1","ACNO8S_RS04290","aldehyde dehydrogenase family protein","Glycolysis / Gluconeogenesis"
"map00010","K00627","WP_050037403.1","ACNO8S_RS00395","dihydrolipoamide acetyltransferase family protein","Glycolysis / Gluconeogenesis"
"map00010","K01803","WP_004515640.1","ACNO8S_RS05090","triose-phosphate isomerase","Glycolysis / Gluconeogenesis"
