"KO","name","definition","category"
"K00053","ketol-acid reductoisomerase [EC:1.1.1.86]",NA,"HM-HA"
"K00134","glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]",NA,"HM-HA"
"K00161","pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]",NA,"HM-HA"
"K00215","4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]",NA,"HM-HA"
"K00265","glutamate synthase (NADPH) large chain [EC:1.4.1.13]",NA,"HM-HA"
"K00287","dihydrofolate reductase [EC:1.5.1.3]",NA,"HM-HA"
"K00313","electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]",NA,"HM-HA"
"K00320","5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]",NA,"HM-HA"
"K00366","ferredoxin-nitrite reductase [EC:1.7.7.1]",NA,"HM-HA"
"K00368","nitrite reductase (NO-forming) [EC:1.7.2.1]",NA,"HM-HA"
"K00370","nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]",NA,"HM-HA"
"K00371","nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]",NA,"HM-HA"
"K00652","8-amino-7-oxononanoate synthase [EC:2.3.1.47]",NA,"HM-HA"
"K00661","maltose O-acetyltransferase [EC:2.3.1.79]",NA,"HM-HA"
"K00666","fatty-acyl-CoA synthase [EC:6.2.1.-]",NA,"HM-HA"
"K00674","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]",NA,"HM-HA"
"K00692","levansucrase [EC:2.4.1.10]",NA,"HM-HA"
"K00788","thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]",NA,"HM-HA"
"K00882","1-phosphofructokinase [EC:2.7.1.56]",NA,"HM-HA"
"K00937","polyphosphate kinase [EC:2.7.4.1]",NA,"HM-HA"
"K01012","biotin synthase [EC:2.8.1.6]",NA,"HM-HA"
"K01041","glutaryl-CoA transferase [EC:2.8.3.-]",NA,"HM-HA"
"K01182","oligo-1,6-glucosidase [EC:3.2.1.10]",NA,"HM-HA"
"K01193","beta-fructofuranosidase [EC:3.2.1.26]",NA,"HM-HA"
"K01207","beta-N-acetylhexosaminidase [EC:3.2.1.52]",NA,"HM-HA"
"K01434","penicillin G amidase [EC:3.5.1.11]",NA,"HM-HA"
"K01438","acetylornithine deacetylase [EC:3.5.1.16]",NA,"HM-HA"
"K01473","N-methylhydantoinase A [EC:3.5.2.14]",NA,"HM-HA"
"K01474","N-methylhydantoinase B [EC:3.5.2.14]",NA,"HM-HA"
"K01476","arginase [EC:3.5.3.1]",NA,"HM-HA"
"K01512","acylphosphatase [EC:3.6.1.7]",NA,"HM-HA"
"K01586","diaminopimelate decarboxylase [EC:4.1.1.20]",NA,"HM-HA"
"K01625","2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]",NA,"HM-HA"
"K01649","2-isopropylmalate synthase [EC:2.3.3.13]",NA,"HM-HA"
"K01652","acetolactate synthase I/II/III large subunit [EC:2.2.1.6]",NA,"HM-HA"
"K01653","acetolactate synthase I/III small subunit [EC:2.2.1.6]",NA,"HM-HA"
"K01684","galactonate dehydratase [EC:4.2.1.6]",NA,"HM-HA"
"K01687","dihydroxy-acid dehydratase [EC:4.2.1.9]",NA,"HM-HA"
"K01703","3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]",NA,"HM-HA"
"K01704","3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]",NA,"HM-HA"
"K01734","methylglyoxal synthase [EC:4.2.3.3]",NA,"HM-HA"
"K01791","UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]",NA,"HM-HA"
"K01935","dethiobiotin synthetase [EC:6.3.3.3]",NA,"HM-HA"
"K01972","DNA ligase (NAD+) [EC:6.5.1.2]",NA,"HM-HA"
"K01975","RNA 2',3'-cyclic 3'-phosphodiesterase [EC:3.1.4.58]",NA,"HM-HA"
"K01995","branched-chain amino acid transport system ATP-binding protein",NA,"HM-HA"
"K01996","branched-chain amino acid transport system ATP-binding protein",NA,"HM-HA"
"K01997","branched-chain amino acid transport system permease protein",NA,"HM-HA"
"K01999","branched-chain amino acid transport system substrate-binding protein",NA,"HM-HA"
"K02019","molybdate transport system regulatory protein",NA,"HM-HA"
"K02025","multiple sugar transport system permease protein",NA,"HM-HA"
"K02026","multiple sugar transport system permease protein",NA,"HM-HA"
"K02027","multiple sugar transport system substrate-binding protein",NA,"HM-HA"
"K02028","polar amino acid transport system ATP-binding protein [EC:7.4.2.1]",NA,"HM-HA"
"K02259","heme a synthase [EC:1.17.99.9]",NA,"HM-HA"
"K02319","DNA polymerase, archaea type [EC:2.7.7.7]",NA,"HM-HA"
"K02347","DNA polymerase (family X)",NA,"HM-HA"
"K02472","UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]",NA,"HM-HA"
"K02893","large subunit ribosomal protein L23Ae",NA,"HM-HA"
"K03053","DNA-directed RNA polymerase subunit H [EC:2.7.7.6]",NA,"HM-HA"
"K03055","DNA-directed RNA polymerase subunit K [EC:2.7.7.6]",NA,"HM-HA"
