"protein_id","gene","product","KO"
"WP_004514915.1","ACNO8S_RS12640","archaemetzincin family Zn-dependent metalloprotease","K06974"
"WP_004515075.1","ACNO8S_RS11840","translation initiation factor IF-5A","K03263"
"WP_004515265.1","ACNO8S_RS13030","chemotaxis protein CheY","K03413"
"WP_004515390.1","ACNO8S_RS13825","cold-shock protein","K03704"
"WP_004515391.1","ACNO8S_RS13830","cold-shock protein","K03704"
"WP_004515425.1","ACNO8S_RS14130","30S ribosomal protein S10","K02946"
"WP_004515440.1","ACNO8S_RS14205","30S ribosomal protein S12","K02950"
"WP_004515442.1","ACNO8S_RS14220","NusA-like transcription termination signal-binding factor","K02600"
"WP_004515640.1","ACNO8S_RS05090","triose-phosphate isomerase","K01803"
"WP_004515710.1","ACNO8S_RS05480","Rrf2 family transcriptional regulator","K07744"
"WP_004515717.1","ACNO8S_RS05515","DUF555 domain-containing protein","K09731"
"WP_004516007.1","ACNO8S_RS16020","DNA-directed RNA polymerase","K03049"
"WP_004516027.1","ACNO8S_RS16125","DNA polymerase sliding clamp","K04802"
"WP_004516073.1","ACNO8S_RS14320","stress response translation initiation inhibitor YciH","K03113"
"WP_004516096.1","ACNO8S_RS14460","translation initiation factor eIF-1A","K03236"
"WP_004516108.1","ACNO8S_RS14535","30S ribosomal protein S24e","K02974"
"WP_004516406.1","ACNO8S_RS00475","non-histone chromosomal MC1 family protein","K28135"
"WP_004516469.1","ACNO8S_RS00160","cold-shock protein","K03704"
"WP_004516764.1","ACNO8S_RS03850","30S ribosomal protein S28e","K02979"
"WP_004516796.1","ACNO8S_RS03695","DNA-directed RNA polymerase subunit K","K03055"
"WP_004516798.1","ACNO8S_RS03685","30S ribosomal protein S9","K02996"
"WP_004516800.1","ACNO8S_RS03675","50S ribosomal protein L18e","K02883"
"WP_004516802.1","ACNO8S_RS03660","30S ribosomal protein S11","K02948"
"WP_004516807.1","ACNO8S_RS03630","30S ribosomal protein S17e","K02962"
"WP_004516836.1","ACNO8S_RS06300","transcription elongation factor Spt5","K15172"
"WP_004516850.1","ACNO8S_RS06230","TATA-box-binding protein","K03120"
"WP_004516956.1","ACNO8S_RS10325","30S ribosomal protein S8","K02994"
"WP_004516961.1","ACNO8S_RS10350","50S ribosomal protein L14","K02874"
"WP_004516964.1","ACNO8S_RS10365","50S ribosomal protein L29","K02904"
"WP_004516967.1","ACNO8S_RS10380","30S ribosomal protein S19","K02965"
"WP_004517024.1","ACNO8S_RS10695","DNA-directed RNA polymerase subunit P","K03059"
"WP_004517065.1","ACNO8S_RS10900","cold-shock protein","K03704"
"WP_004517203.1","ACNO8S_RS11610","transcription initiation factor IIB","K03124"
"WP_004517591.1","ACNO8S_RS15485","DUF2073 domain-containing protein","K09743"
"WP_004517663.1","ACNO8S_RS15145","P-II family nitrogen regulator","K04751"
"WP_004517916.1","ACNO8S_RS06775","50S ribosomal protein L37e","K02922"
"WP_004518043.1","ACNO8S_RS07435","ribbon-helix-helix domain-containing protein","K07378"
"WP_004518130.1","ACNO8S_RS10100","CDC48 family AAA ATPase","K13525"
"WP_004518194.1","ACNO8S_RS09770","NuoI/complex I 23 kDa subunit family protein","K03941"
"WP_004518346.1","ACNO8S_RS01215","50S ribosomal protein L39e","K02924"
"WP_004518634.1","ACNO8S_RS02840","nucleoside phosphorylase","K00757"
"WP_004518703.1","ACNO8S_RS03200","30S ribosomal protein S27e","K02978"
"WP_004518711.1","ACNO8S_RS03245","hypoxanthine/guanine phosphoribosyltransferase","K00759"
"WP_004590329.1","ACNO8S_RS15490","Era-like GTP-binding protein","K03595"
"WP_004590522.1","ACNO8S_RS14715","ferredoxin Fer1","K02639"
"WP_004590578.1","ACNO8S_RS14540","30S ribosomal protein S27ae","K02977"
"WP_004590591.1","ACNO8S_RS14475","KH domain-containing protein","K06961"
"WP_004590597.1","ACNO8S_RS14465","serine/threonine-protein kinase Rio1","K07178"
"WP_004590910.1","ACNO8S_RS13925","Hsp20/alpha crystallin family protein","K13993"
"WP_004591222.1","ACNO8S_RS11660","redox-regulated ATPase YchF","K06942"
"WP_004591449.1","ACNO8S_RS10895","cold-shock protein","K03704"
"WP_004591484.1","ACNO8S_RS10735","prefoldin subunit beta","K04798"
"WP_004591489.1","ACNO8S_RS10700","50S ribosomal protein L37ae","K02921"
"WP_004591553.1","ACNO8S_RS10390","50S ribosomal protein L23","K02893"
"WP_004591562.1","ACNO8S_RS10335","50S ribosomal protein L5","K02931"
"WP_004591564.1","ACNO8S_RS10320","50S ribosomal protein L6","K02933"
"WP_004591678.1","ACNO8S_RS09775","NADH-quinone oxidoreductase subunit J","K00339"
"WP_004591731.1","ACNO8S_RS09500","50S ribosomal protein L11","K02867"
"WP_004592762.1","ACNO8S_RS07060","transcription factor E","K03136"
"WP_004592932.1","ACNO8S_RS06375","transcriptional regulator","K07743"
"WP_004592941.1","ACNO8S_RS06320","cell division protein FtsZ","K03531"
"WP_004593122.1","ACNO8S_RS05495","cytidine deaminase","K01489"
"WP_004593354.1","ACNO8S_RS04580","elongation factor 1-beta","K03232"
"WP_004593501.1","ACNO8S_RS03845","50S ribosomal protein L7Ae","K02936"
"WP_004593562.1","ACNO8S_RS03655","30S ribosomal protein S4","K02986"
"WP_004593581.1","ACNO8S_RS03565","signal recognition particle subunit SRP19","K03105"
"WP_004593654.1","ACNO8S_RS03205","50S ribosomal protein L44e","K02929"
"WP_004593839.1","ACNO8S_RS02285","inorganic diphosphatase","K01507"
"WP_004593983.1","ACNO8S_RS01455","V-type ATP synthase subunit D","K02120"
"WP_004594002.1","ACNO8S_RS01380","polyprenyl synthetase family protein","K13787"
"WP_004594978.1","ACNO8S_RS17665","Cdc6/Cdc18 family protein","K10725"
"WP_004957374.1","ACNO8S_RS10300","30S ribosomal protein S5","K02988"
"WP_004957415.1","ACNO8S_RS10385","50S ribosomal protein L2","K02886"
"WP_004957426.1","ACNO8S_RS10405","putative RNA uridine N3 methyltransferase","K09142"
"WP_004957654.1","ACNO8S_RS10800","GMP synthase subunit A","K01951"
"WP_004959113.1","ACNO8S_RS14240","DNA-directed RNA polymerase subunit B''","K03045"
"WP_004959115.1","ACNO8S_RS14245","DNA-directed RNA polymerase subunit H","K03053"
"WP_004959888.1","ACNO8S_RS15380","lysine biosynthesis protein LysW","K05826"
"WP_004960449.1","ACNO8S_RS16025","transcription elongation factor subunit Spt4","K15171"
"WP_004960452.1","ACNO8S_RS16015","hypothetical protein","K07158"
"WP_004960523.1","ACNO8S_RS15895","50S ribosomal protein L40e","K02927"
"WP_004960905.1","ACNO8S_RS08225","class 1 fructose-bisphosphatase","K03841"
"WP_004960990.1","ACNO8S_RS08070","diadenylate cyclase DacZ","K18672"
"WP_004961231.1","ACNO8S_RS07490","PH domain-containing protein","K09167"
"WP_004961266.1","ACNO8S_RS07395","cobalamin B12-binding domain-containing protein","K01849"
"WP_004962592.1","ACNO8S_RS04950","class I fructose-bisphosphate aldolase","K11645"
"WP_004962944.1","ACNO8S_RS04350","methyltransferase domain-containing protein","K07442"
"WP_004963344.1","ACNO8S_RS03665","DNA-directed RNA polymerase subunit D","K03047"
"WP_004964767.1","ACNO8S_RS00940","branched-chain amino acid transaminase","K00826"
"WP_005534748.1","ACNO8S_RS06095","phosphoadenosine phosphosulfate reductase family protein","K00390"
"WP_005535365.1","ACNO8S_RS04370","transcription factor S","K03057"
"WP_005536054.1","ACNO8S_RS02090","tubulin/FtsZ family protein","K22222"
"WP_005536977.1","ACNO8S_RS14845","ACT domain-containing protein","K07103"
"WP_005537153.1","ACNO8S_RS14135","translation elongation factor EF-1 subunit alpha","K03231"
"WP_005537260.1","ACNO8S_RS13675","histone","K24450"
"WP_007188840.1","ACNO8S_RS11150","archaeal proteasome endopeptidase complex subunit alpha","K03432"
"WP_007190136.1","ACNO8S_RS08220","metallophosphoesterase","K06953"
"WP_008306935.1","ACNO8S_RS00185","zinc metalloprotease HtpX","K03799"
"WP_008306969.1","ACNO8S_RS00100","thermosome subunit alpha","K22447"
"WP_008306979.1","ACNO8S_RS00065","MaoC family dehydratase","K17865"
"WP_008307001.1","ACNO8S_RS00005","ORC1-type DNA replication protein","K10725"
"WP_008307104.1","ACNO8S_RS15855","imidazole glycerol phosphate synthase subunit HisH","K02501"
"WP_008307172.1","ACNO8S_RS15570","CNNM domain-containing protein","K03699"
"WP_008307188.1","ACNO8S_RS15480","OapC/ArvC family zinc-ribbon domain-containing protein","K07163"
"WP_008307210.1","ACNO8S_RS15370","N-acetyl-gamma-glutamyl-phosphate reductase","K05829"
