Protein_ID,Organism,Original_ID,RBH_Partner_IDs
HA|WP_004515651.1,HA,WP_004515651.1,None
HA|WP_004516231.1,HA,WP_004516231.1,None
HA|WP_004516302.1,HA,WP_004516302.1,None
HA|WP_004516449.1,HA,WP_004516449.1,None
HA|WP_004516620.1,HA,WP_004516620.1,None
HA|WP_004518074.1,HA,WP_004518074.1,None
HA|WP_004518274.1,HA,WP_004518274.1,None
HA|WP_004518347.1,HA,WP_004518347.1,None
HA|WP_004590026.1,HA,WP_004590026.1,None
HA|WP_004590504.1,HA,WP_004590504.1,None
HA|WP_004590650.1,HA,WP_004590650.1,None
HA|WP_004591084.1,HA,WP_004591084.1,None
HA|WP_004592295.1,HA,WP_004592295.1,None
HA|WP_004593153.1,HA,WP_004593153.1,None
HA|WP_004593356.1,HA,WP_004593356.1,None
HA|WP_004593838.1,HA,WP_004593838.1,None
HA|WP_004594293.1,HA,WP_004594293.1,None
HA|WP_004957827.1,HA,WP_004957827.1,None
HA|WP_004957992.1,HA,WP_004957992.1,None
HA|WP_004958362.1,HA,WP_004958362.1,None
HA|WP_004959670.1,HA,WP_004959670.1,None
HA|WP_004959992.1,HA,WP_004959992.1,None
HA|WP_004960042.1,HA,WP_004960042.1,None
HA|WP_004960988.1,HA,WP_004960988.1,None
HA|WP_004961340.1,HA,WP_004961340.1,None
HA|WP_004961543.1,HA,WP_004961543.1,None
HA|WP_004961837.1,HA,WP_004961837.1,None
HA|WP_004962120.1,HA,WP_004962120.1,None
HA|WP_004963012.1,HA,WP_004963012.1,None
HA|WP_004964360.1,HA,WP_004964360.1,None
HA|WP_004964745.1,HA,WP_004964745.1,None
HA|WP_004966000.1,HA,WP_004966000.1,None
HA|WP_004966369.1,HA,WP_004966369.1,None
HA|WP_004966740.1,HA,WP_004966740.1,None
HA|WP_005533017.1,HA,WP_005533017.1,None
HA|WP_005537411.1,HA,WP_005537411.1,None
HA|WP_007187990.1,HA,WP_007187990.1,None
HA|WP_007188436.1,HA,WP_007188436.1,None
HA|WP_008307040.1,HA,WP_008307040.1,None
HA|WP_008307084.1,HA,WP_008307084.1,None
HA|WP_008307173.1,HA,WP_008307173.1,None
HA|WP_008307220.1,HA,WP_008307220.1,None
HA|WP_008307272.1,HA,WP_008307272.1,None
HA|WP_008307275.1,HA,WP_008307275.1,None
HA|WP_008307276.1,HA,WP_008307276.1,None
HA|WP_008307600.1,HA,WP_008307600.1,None
HA|WP_008307637.1,HA,WP_008307637.1,None
HA|WP_008307668.1,HA,WP_008307668.1,None
HA|WP_008307758.1,HA,WP_008307758.1,None
HA|WP_008307760.1,HA,WP_008307760.1,None
HA|WP_008307932.1,HA,WP_008307932.1,None
HA|WP_008308090.1,HA,WP_008308090.1,None
HA|WP_008308187.1,HA,WP_008308187.1,None
HA|WP_008308352.1,HA,WP_008308352.1,None
HA|WP_008308373.1,HA,WP_008308373.1,None
HA|WP_008308706.1,HA,WP_008308706.1,None
HA|WP_008308737.1,HA,WP_008308737.1,None
HA|WP_008308793.1,HA,WP_008308793.1,None
HA|WP_008308799.1,HA,WP_008308799.1,None
HA|WP_008308927.1,HA,WP_008308927.1,None
HA|WP_008309156.1,HA,WP_008309156.1,None
HA|WP_008309306.1,HA,WP_008309306.1,None
HA|WP_008309421.1,HA,WP_008309421.1,None
HA|WP_008309491.1,HA,WP_008309491.1,None
HA|WP_008309612.1,HA,WP_008309612.1,None
HA|WP_008309672.1,HA,WP_008309672.1,None
HA|WP_008309678.1,HA,WP_008309678.1,None
HA|WP_008309716.1,HA,WP_008309716.1,None
HA|WP_008309989.1,HA,WP_008309989.1,None
HA|WP_008310011.1,HA,WP_008310011.1,None
HA|WP_008310015.1,HA,WP_008310015.1,None
HA|WP_008310046.1,HA,WP_008310046.1,None
HA|WP_008310062.1,HA,WP_008310062.1,None
HA|WP_008310156.1,HA,WP_008310156.1,None
HA|WP_008310277.1,HA,WP_008310277.1,None
HA|WP_008310443.1,HA,WP_008310443.1,None
HA|WP_008310451.1,HA,WP_008310451.1,None
HA|WP_008310556.1,HA,WP_008310556.1,None
HA|WP_008310578.1,HA,WP_008310578.1,None
HA|WP_008310615.1,HA,WP_008310615.1,None
HA|WP_008310652.1,HA,WP_008310652.1,None
HA|WP_008310699.1,HA,WP_008310699.1,None
HA|WP_008310747.1,HA,WP_008310747.1,None
HA|WP_008310829.1,HA,WP_008310829.1,None
HA|WP_008311264.1,HA,WP_008311264.1,None
HA|WP_008311289.1,HA,WP_008311289.1,None
HA|WP_008311299.1,HA,WP_008311299.1,None
HA|WP_008311620.1,HA,WP_008311620.1,None
HA|WP_008311719.1,HA,WP_008311719.1,None
HA|WP_008311726.1,HA,WP_008311726.1,None
HA|WP_008311793.1,HA,WP_008311793.1,None
HA|WP_008311830.1,HA,WP_008311830.1,None
HA|WP_008311863.1,HA,WP_008311863.1,None
HA|WP_008312034.1,HA,WP_008312034.1,None
HA|WP_008312056.1,HA,WP_008312056.1,None
HA|WP_008312065.1,HA,WP_008312065.1,None
HA|WP_008312456.1,HA,WP_008312456.1,None
HA|WP_008312618.1,HA,WP_008312618.1,None
HA|WP_008312620.1,HA,WP_008312620.1,None
HA|WP_008312626.1,HA,WP_008312626.1,None
HA|WP_008312634.1,HA,WP_008312634.1,None
HA|WP_008312705.1,HA,WP_008312705.1,None
HA|WP_008312718.1,HA,WP_008312718.1,None
HA|WP_008312747.1,HA,WP_008312747.1,None
HA|WP_008313024.1,HA,WP_008313024.1,None
HA|WP_008313095.1,HA,WP_008313095.1,None
HA|WP_008313168.1,HA,WP_008313168.1,None
HA|WP_008313239.1,HA,WP_008313239.1,None
HA|WP_008313240.1,HA,WP_008313240.1,None
HA|WP_008313251.1,HA,WP_008313251.1,None
HA|WP_008313421.1,HA,WP_008313421.1,None
HA|WP_008313655.1,HA,WP_008313655.1,None
HA|WP_008313766.1,HA,WP_008313766.1,None
HA|WP_011222717.1,HA,WP_011222717.1,None
HA|WP_011223949.1,HA,WP_011223949.1,None
HA|WP_014030570.1,HA,WP_014030570.1,None
HA|WP_014030573.1,HA,WP_014030573.1,None
HA|WP_014030574.1,HA,WP_014030574.1,None
HA|WP_014030575.1,HA,WP_014030575.1,None
HA|WP_014030580.1,HA,WP_014030580.1,None
HA|WP_014030594.1,HA,WP_014030594.1,None
HA|WP_014030608.1,HA,WP_014030608.1,None
HA|WP_014030611.1,HA,WP_014030611.1,None
HA|WP_014030612.1,HA,WP_014030612.1,None
HA|WP_014030623.1,HA,WP_014030623.1,None
HA|WP_014030637.1,HA,WP_014030637.1,None
HA|WP_014030646.1,HA,WP_014030646.1,None
HA|WP_014030648.1,HA,WP_014030648.1,None
HA|WP_014030649.1,HA,WP_014030649.1,None
HA|WP_014030810.1,HA,WP_014030810.1,None
HA|WP_014030824.1,HA,WP_014030824.1,None
HA|WP_014030840.1,HA,WP_014030840.1,None
HA|WP_014030841.1,HA,WP_014030841.1,None
HA|WP_014030864.1,HA,WP_014030864.1,None
HA|WP_014030871.1,HA,WP_014030871.1,None
HA|WP_014030878.1,HA,WP_014030878.1,None
HA|WP_014030881.1,HA,WP_014030881.1,None
HA|WP_014030884.1,HA,WP_014030884.1,None
HA|WP_014030889.1,HA,WP_014030889.1,None
HA|WP_014030914.1,HA,WP_014030914.1,None
HA|WP_014030929.1,HA,WP_014030929.1,None
HA|WP_014030948.1,HA,WP_014030948.1,None
HA|WP_014030963.1,HA,WP_014030963.1,None
HA|WP_014030966.1,HA,WP_014030966.1,None
HA|WP_014030968.1,HA,WP_014030968.1,None
HA|WP_014030979.1,HA,WP_014030979.1,None
HA|WP_014030980.1,HA,WP_014030980.1,None
HA|WP_014030981.1,HA,WP_014030981.1,None
HA|WP_014030985.1,HA,WP_014030985.1,None
HA|WP_014030986.1,HA,WP_014030986.1,None
HA|WP_014030998.1,HA,WP_014030998.1,None
HA|WP_014031001.1,HA,WP_014031001.1,None
HA|WP_014031003.1,HA,WP_014031003.1,None
