"Pathway","KO","protein_id","gene","product","Description"
"map00010","K01810","WP_372479633.1","ACAH01_RS14205","glucose-6-phosphate isomerase","Glycolysis / Gluconeogenesis"
"map00010","K03841","WP_372480562.1","ACAH01_RS06020","class 1 fructose-bisphosphatase","Glycolysis / Gluconeogenesis"
"map00010","K11645","WP_170094613.1","ACAH01_RS07255","class I fructose-bisphosphate aldolase","Glycolysis / Gluconeogenesis"
"map00010","K11645","WP_170094942.1","ACAH01_RS06025","class I fructose-bisphosphate aldolase","Glycolysis / Gluconeogenesis"
"map00010","K00161","WP_372480819.1","ACAH01_RS01550","pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha","Glycolysis / Gluconeogenesis"
"map00010","K00382","WP_170093163.1","ACAH01_RS00095","dihydrolipoyl dehydrogenase","Glycolysis / Gluconeogenesis"
"map00010","K00175","WP_170095068.1","ACAH01_RS05220","2-oxoacid:ferredoxin oxidoreductase subunit beta","Glycolysis / Gluconeogenesis"
"map00010","K15633","WP_372479526.1","ACAH01_RS13395","2-2C3-bisphosphoglycerate-independent phosphoglycerate mutase","Glycolysis / Gluconeogenesis"
"map00010","K01689","WP_372480744.1","ACAH01_RS07580","phosphopyruvate hydratase","Glycolysis / Gluconeogenesis"
"map00010","K00174","WP_372480474.1","ACAH01_RS05225","2-oxoacid:acceptor oxidoreductase subunit alpha","Glycolysis / Gluconeogenesis"
"map00010","K00175","WP_015763116.1","ACAH01_RS09980","thiamine pyrophosphate-dependent enzyme","Glycolysis / Gluconeogenesis"
"map00010","K00134","WP_372480038.1","ACAH01_RS01650","type I glyceraldehyde-3-phosphate dehydrogenase","Glycolysis / Gluconeogenesis"
"map00010","K15778","WP_372480818.1","ACAH01_RS01305","phosphoglucosamine mutase","Glycolysis / Gluconeogenesis"
"map00010","K25026","WP_153553578.1","ACAH01_RS08125","ROK family protein","Glycolysis / Gluconeogenesis"
"map00010","K00927","WP_372480113.1","ACAH01_RS02290","phosphoglycerate kinase","Glycolysis / Gluconeogenesis"
"map00010","K01007","WP_170095001.1","ACAH01_RS05655","phosphoenolpyruvate synthase","Glycolysis / Gluconeogenesis"
"map00010","K01803","WP_170094391.1","ACAH01_RS08655","triose-phosphate isomerase","Glycolysis / Gluconeogenesis"
"map00010","K00174","WP_372479068.1","ACAH01_RS09985","2-oxoacid:acceptor oxidoreductase subunit alpha","Glycolysis / Gluconeogenesis"
"map00010","K00627","WP_372480026.1","ACAH01_RS01540","dihydrolipoamide acetyltransferase family protein","Glycolysis / Gluconeogenesis"
"map00010","K25026","WP_372479134.1","ACAH01_RS10490","ROK family protein","Glycolysis / Gluconeogenesis"
"map00010","K01895","WP_372479135.1","ACAH01_RS10500","AMP-binding protein","Glycolysis / Gluconeogenesis"
"map00010","K00150","WP_170092749.1","ACAH01_RS02300","type II glyceraldehyde-3-phosphate dehydrogenase","Glycolysis / Gluconeogenesis"
"map00010","K16306","WP_153554043.1","ACAH01_RS05465","2-amino-3-2C7-dideoxy-D-threo-hept-6-ulosonate synthase","Glycolysis / Gluconeogenesis"
"map00010","K01895","WP_170094156.1","ACAH01_RS09950","acetate--CoA ligase","Glycolysis / Gluconeogenesis"
"map00010","K00873","WP_372478850.1","ACAH01_RS08120","pyruvate kinase","Glycolysis / Gluconeogenesis"
"map00010","K00382","WP_372479408.1","ACAH01_RS12515","NAD(P)/FAD-dependent oxidoreductase","Glycolysis / Gluconeogenesis"
"map00020","K01679","WP_372480641.1","ACAH01_RS06685","class II fumarate hydratase","Citrate cycle (TCA cycle)"
"map00020","K00627","WP_372480026.1","ACAH01_RS01540","dihydrolipoamide acetyltransferase family protein","Citrate cycle (TCA cycle)"
"map00020","K27802","WP_372480073.1","ACAH01_RS01935","aconitate hydratase","Citrate cycle (TCA cycle)"
"map00020","K01902","WP_018258275.1","ACAH01_RS07010","succinate--CoA ligase subunit alpha","Citrate cycle (TCA cycle)"
"map00020","K00174","WP_372480474.1","ACAH01_RS05225","2-oxoacid:acceptor oxidoreductase subunit alpha","Citrate cycle (TCA cycle)"
"map00020","K00382","WP_170093163.1","ACAH01_RS00095","dihydrolipoyl dehydrogenase","Citrate cycle (TCA cycle)"
"map00020","K00175","WP_015763116.1","ACAH01_RS09980","thiamine pyrophosphate-dependent enzyme","Citrate cycle (TCA cycle)"
