Protein_ID,Organism,Original_ID,RBH_Partner_IDs
HA|WP_004515333.1,HA,WP_004515333.1,HM|WP_012808086.1
HA|WP_004515458.1,HA,WP_004515458.1,HM|WP_015763253.1
HA|WP_004515801.1,HA,WP_004515801.1,HM|WP_026190368.1
HA|WP_004515979.1,HA,WP_004515979.1,HM|WP_018257335.1
HA|WP_004516407.1,HA,WP_004516407.1,HM|WP_015761641.1
HA|WP_004516837.1,HA,WP_004516837.1,HM|WP_018258068.1
HA|WP_004516852.1,HA,WP_004516852.1,HM|WP_015763918.1
HA|WP_004516865.1,HA,WP_004516865.1,HM|WP_153554016.1
HA|WP_004517029.1,HA,WP_004517029.1,HM|WP_018257935.1
HA|WP_004517169.1,HA,WP_004517169.1,HM|WP_170094930.1
HA|WP_004517187.1,HA,WP_004517187.1,HM|WP_170095042.1
HA|WP_004517812.1,HA,WP_004517812.1,HM|WP_170095073.1
HA|WP_004517924.1,HA,WP_004517924.1,HM|WP_015763299.1
HA|WP_004518082.1,HA,WP_004518082.1,HM|WP_015763165.1
HA|WP_004518427.1,HA,WP_004518427.1,HM|WP_015762277.1
HA|WP_004518435.1,HA,WP_004518435.1,HM|WP_153552452.1
HA|WP_004518623.1,HA,WP_004518623.1,HM|WP_153552692.1
HA|WP_004590621.1,HA,WP_004590621.1,HM|WP_153554781.1
HA|WP_004591646.1,HA,WP_004591646.1,HM|WP_170093929.1
HA|WP_004591771.1,HA,WP_004591771.1,HM|WP_372479198.1
HA|WP_004591803.1,HA,WP_004591803.1,HM|WP_018258763.1
HA|WP_004591923.1,HA,WP_004591923.1,HM|WP_153553435.1
HA|WP_004592515.1,HA,WP_004592515.1,HM|WP_170094229.1
HA|WP_004592637.1,HA,WP_004592637.1,HM|WP_170094178.1
HA|WP_004593652.1,HA,WP_004593652.1,HM|WP_153553914.1
HA|WP_004593670.1,HA,WP_004593670.1,HM|WP_015763765.1
HA|WP_004593761.1,HA,WP_004593761.1,HM|WP_170093716.1
HA|WP_004594032.1,HA,WP_004594032.1,HM|WP_170093402.1
HA|WP_004595131.1,HA,WP_004595131.1,HM|WP_372480179.1
HA|WP_004957007.1,HA,WP_004957007.1,HM|WP_372479202.1
HA|WP_004957100.1,HA,WP_004957100.1,HM|WP_015762872.1
HA|WP_004958397.1,HA,WP_004958397.1,HM|WP_153554727.1
HA|WP_004959860.1,HA,WP_004959860.1,HM|WP_153554850.1
HA|WP_004960333.1,HA,WP_004960333.1,HM|WP_153554767.1
HA|WP_004962786.1,HA,WP_004962786.1,HM|WP_153552311.1
HA|WP_005535719.1,HA,WP_005535719.1,HM|WP_153553898.1
HA|WP_005536443.1,HA,WP_005536443.1,HM|WP_170092687.1
HA|WP_005537126.1,HA,WP_005537126.1,HM|WP_170092737.1
HA|WP_007190101.1,HA,WP_007190101.1,HM|WP_153553610.1
HA|WP_008307136.1,HA,WP_008307136.1,HM|WP_153552158.1
HA|WP_008307296.1,HA,WP_008307296.1,HM|WP_153552253.1
HA|WP_008307333.1,HA,WP_008307333.1,HM|WP_153553192.1
HA|WP_008307542.1,HA,WP_008307542.1,HM|WP_012808026.1
HA|WP_008307638.1,HA,WP_008307638.1,HM|WP_170092856.1
HA|WP_008307750.1,HA,WP_008307750.1,HM|WP_170092746.1
HA|WP_008307753.1,HA,WP_008307753.1,HM|WP_170092741.1
HA|WP_008307802.1,HA,WP_008307802.1,HM|WP_153554379.1
HA|WP_008307830.1,HA,WP_008307830.1,HM|WP_012807774.1
HA|WP_008308123.1,HA,WP_008308123.1,HM|WP_170092485.1
HA|WP_008308192.1,HA,WP_008308192.1,HM|WP_012807666.1
HA|WP_008308543.1,HA,WP_008308543.1,HM|WP_372479248.1
HA|WP_008308761.1,HA,WP_008308761.1,HM|WP_153555106.1
HA|WP_008308944.1,HA,WP_008308944.1,HM|WP_170094067.1
HA|WP_008309020.1,HA,WP_008309020.1,HM|WP_153553382.1
HA|WP_008309033.1,HA,WP_008309033.1,HM|WP_153553395.1
HA|WP_008309269.1,HA,WP_008309269.1,HM|WP_208628036.1
HA|WP_008309480.1,HA,WP_008309480.1,HM|WP_153554012.1
HA|WP_008309489.1,HA,WP_008309489.1,HM|WP_170095102.1
HA|WP_008309674.1,HA,WP_008309674.1,HM|WP_153553592.1
HA|WP_008309691.1,HA,WP_008309691.1,HM|WP_372478840.1
HA|WP_008309827.1,HA,WP_008309827.1,HM|WP_153553756.1
HA|WP_008309829.1,HA,WP_008309829.1,HM|WP_153553755.1
HA|WP_008309881.1,HA,WP_008309881.1,HM|WP_372478907.1
HA|WP_008309988.1,HA,WP_008309988.1,HM|WP_015763592.1
