Protein_ID,Organism,Original_ID,RBH_Partner_IDs
HM|WP_015763493.1,HM,WP_015763493.1,HS|WP_205251834.1
HM|WP_015763973.1,HM,WP_015763973.1,HS|WP_010902025.1
HM|WP_170093154.1,HM,WP_170093154.1,HS|WP_205251705.1
HM|WP_170093414.1,HM,WP_170093414.1,HS|WP_010903836.1
HM|WP_170093423.1,HM,WP_170093423.1,HS|WP_338416955.1
HM|WP_170094473.1,HM,WP_170094473.1,HS|WP_010903445.1
HM|WP_206039116.1,HM,WP_206039116.1,HS|WP_010903509.1
HM|WP_208628127.1,HM,WP_208628127.1,HS|WP_010903282.1
HM|WP_372480085.1,HM,WP_372480085.1,HS|WP_205251310.1
HM|WP_372480799.1,HM,WP_372480799.1,HS|WP_205251890.1
HM|WP_372480939.1,HM,WP_372480939.1,HS|WP_012289707.1
HS|WP_010902025.1,HS,WP_010902025.1,HM|WP_015763973.1
HS|WP_010903282.1,HS,WP_010903282.1,HM|WP_208628127.1
HS|WP_010903445.1,HS,WP_010903445.1,HM|WP_170094473.1
HS|WP_010903509.1,HS,WP_010903509.1,HM|WP_206039116.1
HS|WP_010903836.1,HS,WP_010903836.1,HM|WP_170093414.1
HS|WP_012289707.1,HS,WP_012289707.1,HM|WP_372480939.1
HS|WP_205251310.1,HS,WP_205251310.1,HM|WP_372480085.1
HS|WP_205251705.1,HS,WP_205251705.1,HM|WP_170093154.1
HS|WP_205251834.1,HS,WP_205251834.1,HM|WP_015763493.1
HS|WP_205251890.1,HS,WP_205251890.1,HM|WP_372480799.1
HS|WP_338416955.1,HS,WP_338416955.1,HM|WP_170093423.1
