Protein_ID,Organism,Original_ID,RBH_Partner_IDs
HM|WP_004061491.1,HM,WP_004061491.1,None
HM|WP_012807550.1,HM,WP_012807550.1,None
HM|WP_012807589.1,HM,WP_012807589.1,None
HM|WP_012807798.1,HM,WP_012807798.1,None
HM|WP_012807830.1,HM,WP_012807830.1,None
HM|WP_015761640.1,HM,WP_015761640.1,None
HM|WP_015761806.1,HM,WP_015761806.1,None
HM|WP_015761898.1,HM,WP_015761898.1,None
HM|WP_015761999.1,HM,WP_015761999.1,None
HM|WP_015762278.1,HM,WP_015762278.1,None
HM|WP_015762482.1,HM,WP_015762482.1,None
HM|WP_015762773.1,HM,WP_015762773.1,None
HM|WP_015763012.1,HM,WP_015763012.1,None
HM|WP_015763059.1,HM,WP_015763059.1,None
HM|WP_015763443.1,HM,WP_015763443.1,None
HM|WP_015763698.1,HM,WP_015763698.1,None
HM|WP_015764138.1,HM,WP_015764138.1,None
HM|WP_018256486.1,HM,WP_018256486.1,None
HM|WP_018256606.1,HM,WP_018256606.1,None
HM|WP_018257158.1,HM,WP_018257158.1,None
HM|WP_018258172.1,HM,WP_018258172.1,None
HM|WP_018258393.1,HM,WP_018258393.1,None
HM|WP_018258868.1,HM,WP_018258868.1,None
HM|WP_018258893.1,HM,WP_018258893.1,None
HM|WP_018258903.1,HM,WP_018258903.1,None
HM|WP_018259440.1,HM,WP_018259440.1,None
HM|WP_153552019.1,HM,WP_153552019.1,None
HM|WP_153552041.1,HM,WP_153552041.1,None
HM|WP_153552130.1,HM,WP_153552130.1,None
HM|WP_153552145.1,HM,WP_153552145.1,None
HM|WP_153552173.1,HM,WP_153552173.1,None
HM|WP_153552197.1,HM,WP_153552197.1,None
HM|WP_153552218.1,HM,WP_153552218.1,None
HM|WP_153552221.1,HM,WP_153552221.1,None
HM|WP_153552248.1,HM,WP_153552248.1,None
HM|WP_153552323.1,HM,WP_153552323.1,None
HM|WP_153552381.1,HM,WP_153552381.1,None
HM|WP_153552382.1,HM,WP_153552382.1,None
HM|WP_153552387.1,HM,WP_153552387.1,None
HM|WP_153552409.1,HM,WP_153552409.1,None
HM|WP_153552426.1,HM,WP_153552426.1,None
HM|WP_153552433.1,HM,WP_153552433.1,None
HM|WP_153552472.1,HM,WP_153552472.1,None
HM|WP_153552486.1,HM,WP_153552486.1,None
HM|WP_153552527.1,HM,WP_153552527.1,None
HM|WP_153552555.1,HM,WP_153552555.1,None
HM|WP_153552613.1,HM,WP_153552613.1,None
HM|WP_153552687.1,HM,WP_153552687.1,None
HM|WP_153552688.1,HM,WP_153552688.1,None
HM|WP_153552694.1,HM,WP_153552694.1,None
HM|WP_153552795.1,HM,WP_153552795.1,None
HM|WP_153552839.1,HM,WP_153552839.1,None
HM|WP_153552863.1,HM,WP_153552863.1,None
HM|WP_153552921.1,HM,WP_153552921.1,None
HM|WP_153553019.1,HM,WP_153553019.1,None
HM|WP_153553084.1,HM,WP_153553084.1,None
HM|WP_153553101.1,HM,WP_153553101.1,None
HM|WP_153553116.1,HM,WP_153553116.1,None
HM|WP_153553117.1,HM,WP_153553117.1,None
HM|WP_153553119.1,HM,WP_153553119.1,None
HM|WP_153553128.1,HM,WP_153553128.1,None
HM|WP_153553250.1,HM,WP_153553250.1,None
HM|WP_153553443.1,HM,WP_153553443.1,None
HM|WP_153553541.1,HM,WP_153553541.1,None
HM|WP_153553582.1,HM,WP_153553582.1,None
HM|WP_153553608.1,HM,WP_153553608.1,None
HM|WP_153553626.1,HM,WP_153553626.1,None
HM|WP_153553696.1,HM,WP_153553696.1,None
HM|WP_153553720.1,HM,WP_153553720.1,None
HM|WP_153553753.1,HM,WP_153553753.1,None
HM|WP_153553892.1,HM,WP_153553892.1,None
HM|WP_153554045.1,HM,WP_153554045.1,None
HM|WP_153554322.1,HM,WP_153554322.1,None
HM|WP_153554417.1,HM,WP_153554417.1,None
HM|WP_153554475.1,HM,WP_153554475.1,None
HM|WP_153554480.1,HM,WP_153554480.1,None
HM|WP_153554500.1,HM,WP_153554500.1,None
HM|WP_153554537.1,HM,WP_153554537.1,None
HM|WP_153554555.1,HM,WP_153554555.1,None
HM|WP_153554567.1,HM,WP_153554567.1,None
HM|WP_153554617.1,HM,WP_153554617.1,None
HM|WP_153554780.1,HM,WP_153554780.1,None
HM|WP_153554803.1,HM,WP_153554803.1,None
HM|WP_153554805.1,HM,WP_153554805.1,None
HM|WP_153554979.1,HM,WP_153554979.1,None
HM|WP_153555053.1,HM,WP_153555053.1,None
HM|WP_153555091.1,HM,WP_153555091.1,None
HM|WP_153555092.1,HM,WP_153555092.1,None
HM|WP_153555112.1,HM,WP_153555112.1,None
HM|WP_164731963.1,HM,WP_164731963.1,None
HM|WP_164731981.1,HM,WP_164731981.1,None
HM|WP_170092366.1,HM,WP_170092366.1,None
HM|WP_170092367.1,HM,WP_170092367.1,None
HM|WP_170092412.1,HM,WP_170092412.1,None
HM|WP_170092431.1,HM,WP_170092431.1,None
HM|WP_170092441.1,HM,WP_170092441.1,None
HM|WP_170092488.1,HM,WP_170092488.1,None
HM|WP_170092502.1,HM,WP_170092502.1,None
HM|WP_170092515.1,HM,WP_170092515.1,None
HM|WP_170092536.1,HM,WP_170092536.1,None
HM|WP_170092540.1,HM,WP_170092540.1,None
HM|WP_170092545.1,HM,WP_170092545.1,None
HM|WP_170092567.1,HM,WP_170092567.1,None
HM|WP_170092570.1,HM,WP_170092570.1,None
HM|WP_170092584.1,HM,WP_170092584.1,None
HM|WP_170092585.1,HM,WP_170092585.1,None
HM|WP_170092596.1,HM,WP_170092596.1,None
HM|WP_170092637.1,HM,WP_170092637.1,None
HM|WP_170092654.1,HM,WP_170092654.1,None
HM|WP_170092655.1,HM,WP_170092655.1,None
HM|WP_170092689.1,HM,WP_170092689.1,None
HM|WP_170092754.1,HM,WP_170092754.1,None
HM|WP_170092759.1,HM,WP_170092759.1,None
HM|WP_170092765.1,HM,WP_170092765.1,None
HM|WP_170092768.1,HM,WP_170092768.1,None
HM|WP_170092794.1,HM,WP_170092794.1,None
HM|WP_170092801.1,HM,WP_170092801.1,None
HM|WP_170092818.1,HM,WP_170092818.1,None
HM|WP_170092829.1,HM,WP_170092829.1,None
HM|WP_170092849.1,HM,WP_170092849.1,None
HM|WP_170092855.1,HM,WP_170092855.1,None
HM|WP_170092868.1,HM,WP_170092868.1,None
HM|WP_170092880.1,HM,WP_170092880.1,None
HM|WP_170092881.1,HM,WP_170092881.1,None
HM|WP_170092901.1,HM,WP_170092901.1,None
HM|WP_170092914.1,HM,WP_170092914.1,None
HM|WP_170092920.1,HM,WP_170092920.1,None
HM|WP_170092925.1,HM,WP_170092925.1,None
HM|WP_170092931.1,HM,WP_170092931.1,None
HM|WP_170092933.1,HM,WP_170092933.1,None
HM|WP_170092935.1,HM,WP_170092935.1,None
HM|WP_170092959.1,HM,WP_170092959.1,None
HM|WP_170092969.1,HM,WP_170092969.1,None
HM|WP_170092974.1,HM,WP_170092974.1,None
HM|WP_170092991.1,HM,WP_170092991.1,None
HM|WP_170093021.1,HM,WP_170093021.1,None
HM|WP_170093076.1,HM,WP_170093076.1,None
HM|WP_170093125.1,HM,WP_170093125.1,None
HM|WP_170093145.1,HM,WP_170093145.1,None
HM|WP_170093146.1,HM,WP_170093146.1,None
HM|WP_170093158.1,HM,WP_170093158.1,None
HM|WP_170093175.1,HM,WP_170093175.1,None
HM|WP_170093179.1,HM,WP_170093179.1,None
HM|WP_170093256.1,HM,WP_170093256.1,None
HM|WP_170093257.1,HM,WP_170093257.1,None
HM|WP_170093294.1,HM,WP_170093294.1,None
HM|WP_170093299.1,HM,WP_170093299.1,None
HM|WP_170093312.1,HM,WP_170093312.1,None
HM|WP_170093325.1,HM,WP_170093325.1,None
HM|WP_170093326.1,HM,WP_170093326.1,None
HM|WP_170093332.1,HM,WP_170093332.1,None
HM|WP_170093348.1,HM,WP_170093348.1,None
HM|WP_170093355.1,HM,WP_170093355.1,None
HM|WP_170093357.1,HM,WP_170093357.1,None
HM|WP_170093388.1,HM,WP_170093388.1,None
HM|WP_170093391.1,HM,WP_170093391.1,None
HM|WP_170093392.1,HM,WP_170093392.1,None
HM|WP_170093397.1,HM,WP_170093397.1,None
HM|WP_170093399.1,HM,WP_170093399.1,None
HM|WP_170093403.1,HM,WP_170093403.1,None
HM|WP_170093420.1,HM,WP_170093420.1,None
HM|WP_170093448.1,HM,WP_170093448.1,None
HM|WP_170093458.1,HM,WP_170093458.1,None
HM|WP_170093479.1,HM,WP_170093479.1,None
HM|WP_170093481.1,HM,WP_170093481.1,None
HM|WP_170093507.1,HM,WP_170093507.1,None
HM|WP_170093514.1,HM,WP_170093514.1,None
HM|WP_170093530.1,HM,WP_170093530.1,None
HM|WP_170093531.1,HM,WP_170093531.1,None
HM|WP_170093565.1,HM,WP_170093565.1,None
HM|WP_170093617.1,HM,WP_170093617.1,None
HM|WP_170093619.1,HM,WP_170093619.1,None
HM|WP_170093630.1,HM,WP_170093630.1,None
HM|WP_170093650.1,HM,WP_170093650.1,None
HM|WP_170093651.1,HM,WP_170093651.1,None
HM|WP_170093664.1,HM,WP_170093664.1,None
HM|WP_170093689.1,HM,WP_170093689.1,None
HM|WP_170093693.1,HM,WP_170093693.1,None
HM|WP_170093696.1,HM,WP_170093696.1,None
HM|WP_170093709.1,HM,WP_170093709.1,None
HM|WP_170093725.1,HM,WP_170093725.1,None
HM|WP_170093727.1,HM,WP_170093727.1,None
HM|WP_170093733.1,HM,WP_170093733.1,None
HM|WP_170093756.1,HM,WP_170093756.1,None
HM|WP_170093799.1,HM,WP_170093799.1,None
HM|WP_170093808.1,HM,WP_170093808.1,None
HM|WP_170093809.1,HM,WP_170093809.1,None
HM|WP_170093814.1,HM,WP_170093814.1,None
HM|WP_170093821.1,HM,WP_170093821.1,None
HM|WP_170093839.1,HM,WP_170093839.1,None
HM|WP_170093866.1,HM,WP_170093866.1,None
HM|WP_170093873.1,HM,WP_170093873.1,None
HM|WP_170093880.1,HM,WP_170093880.1,None
HM|WP_170093887.1,HM,WP_170093887.1,None
HM|WP_170093908.1,HM,WP_170093908.1,None
HM|WP_170093928.1,HM,WP_170093928.1,None
HM|WP_170093940.1,HM,WP_170093940.1,None
HM|WP_170093944.1,HM,WP_170093944.1,None
HM|WP_170093949.1,HM,WP_170093949.1,None
HM|WP_170093963.1,HM,WP_170093963.1,None
HM|WP_170094015.1,HM,WP_170094015.1,None
HM|WP_170094023.1,HM,WP_170094023.1,None
HM|WP_170094037.1,HM,WP_170094037.1,None
HM|WP_170094087.1,HM,WP_170094087.1,None
HM|WP_170094095.1,HM,WP_170094095.1,None
HM|WP_170094124.1,HM,WP_170094124.1,None
HM|WP_170094197.1,HM,WP_170094197.1,None
HM|WP_170094200.1,HM,WP_170094200.1,None
HM|WP_170094203.1,HM,WP_170094203.1,None
HM|WP_170094208.1,HM,WP_170094208.1,None
HM|WP_170094213.1,HM,WP_170094213.1,None
HM|WP_170094238.1,HM,WP_170094238.1,None
HM|WP_170094247.1,HM,WP_170094247.1,None
HM|WP_170094291.1,HM,WP_170094291.1,None
HM|WP_170094298.1,HM,WP_170094298.1,None
HM|WP_170094299.1,HM,WP_170094299.1,None
HM|WP_170094300.1,HM,WP_170094300.1,None
HM|WP_170094302.1,HM,WP_170094302.1,None
HM|WP_170094323.1,HM,WP_170094323.1,None
HM|WP_170094337.1,HM,WP_170094337.1,None
HM|WP_170094338.1,HM,WP_170094338.1,None
HM|WP_170094343.1,HM,WP_170094343.1,None
HM|WP_170094345.1,HM,WP_170094345.1,None
HM|WP_170094347.1,HM,WP_170094347.1,None
HM|WP_170094349.1,HM,WP_170094349.1,None
HM|WP_170094351.1,HM,WP_170094351.1,None
HM|WP_170094352.1,HM,WP_170094352.1,None
HM|WP_170094364.1,HM,WP_170094364.1,None
HM|WP_170094377.1,HM,WP_170094377.1,None
HM|WP_170094382.1,HM,WP_170094382.1,None
HM|WP_170094387.1,HM,WP_170094387.1,None
HM|WP_170094388.1,HM,WP_170094388.1,None
HM|WP_170094399.1,HM,WP_170094399.1,None
HM|WP_170094401.1,HM,WP_170094401.1,None
HM|WP_170094402.1,HM,WP_170094402.1,None
HM|WP_170094404.1,HM,WP_170094404.1,None
HM|WP_170094425.1,HM,WP_170094425.1,None
HM|WP_170094430.1,HM,WP_170094430.1,None
HM|WP_170094431.1,HM,WP_170094431.1,None
HM|WP_170094434.1,HM,WP_170094434.1,None
HM|WP_170094441.1,HM,WP_170094441.1,None
HM|WP_170094442.1,HM,WP_170094442.1,None
HM|WP_170094477.1,HM,WP_170094477.1,None
HM|WP_170094488.1,HM,WP_170094488.1,None
HM|WP_170094513.1,HM,WP_170094513.1,None
HM|WP_170094516.1,HM,WP_170094516.1,None
HM|WP_170094523.1,HM,WP_170094523.1,None
HM|WP_170094531.1,HM,WP_170094531.1,None
HM|WP_170094550.1,HM,WP_170094550.1,None
