locus_tag,protein_id,product
ACNO8S_RS00005,WP_008307001.1,ORC1-type DNA replication protein
ACNO8S_RS00010,WP_420182287.1,DUF7089 family protein
ACNO8S_RS00015,WP_420182288.1,hypothetical protein
ACNO8S_RS00020,WP_336358694.1,RidA family protein
ACNO8S_RS00025,WP_420182289.1,MATE family efflux transporter
ACNO8S_RS00030,WP_151102764.1,MaoC/PaaZ C-terminal domain-containing protein
ACNO8S_RS00035,WP_004960333.1,ferredoxin
ACNO8S_RS00040,WP_420182290.1,DEAD/DEAH box helicase
ACNO8S_RS00045,WP_420182291.1,KEOPS complex subunit Cgi121
ACNO8S_RS00050,WP_191450339.1,hypothetical protein
ACNO8S_RS00055,WP_420182292.1,NADH:flavin oxidoreductase
ACNO8S_RS00060,WP_050007573.1,alpha/beta fold hydrolase
ACNO8S_RS00065,WP_008306979.1,MaoC family dehydratase
ACNO8S_RS00070,WP_014039168.1,AbrB/MazE/SpoVT family DNA-binding domain-containing protein
ACNO8S_RS00075,WP_050007574.1,hypothetical protein
ACNO8S_RS00080,WP_050007575.1,poly(R)-hydroxyalkanoic acid synthase subunit PhaE
ACNO8S_RS00085,WP_058990864.1,poly(3-hydroxyalkanoate) polymerase subunit PhaC
ACNO8S_RS00090,WP_014039172.1,TIGR00725 family protein
ACNO8S_RS00095,WP_014039173.1,hypothetical protein
ACNO8S_RS00100,WP_008306969.1,thermosome subunit alpha
ACNO8S_RS00105,WP_044951571.1,ATP-binding protein
ACNO8S_RS00110,WP_050037371.1,DUF5784 family protein
ACNO8S_RS00115,WP_004516474.1,DUF5786 family protein
ACNO8S_RS00120,WP_014039177.1,DUF7530 family protein
ACNO8S_RS00125,WP_050037372.1,NAD(P)H-binding protein
ACNO8S_RS00130,WP_044951575.1,SDR family oxidoreductase
ACNO8S_RS00135,WP_008306949.1,DUF7561 family protein
ACNO8S_RS00140,WP_151102771.1,CPBP family intramembrane glutamic endopeptidase
ACNO8S_RS00145,WP_050007576.1,ArsR/SmtB family transcription factor
ACNO8S_RS00150,WP_050037373.1,hypothetical protein
