"KO","name","definition","category"
"K00003","homoserine dehydrogenase [EC:1.1.1.3]",NA,"Core"
"K00012","UDPglucose 6-dehydrogenase [EC:1.1.1.22]",NA,"Core"
"K00013","histidinol dehydrogenase [EC:1.1.1.23]",NA,"Core"
"K00014","shikimate dehydrogenase [EC:1.1.1.25]",NA,"Core"
"K00021","hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]",NA,"Core"
"K00029","malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]",NA,"Core"
"K00031","isocitrate dehydrogenase [EC:1.1.1.42]",NA,"Core"
"K00033","6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]",NA,"Core"
"K00058","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]",NA,"Core"
"K00059","3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]",NA,"Core"
"K00074","3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]",NA,"Core"
"K00077","2-dehydropantoate 2-reductase [EC:1.1.1.169]",NA,"Core"
"K00088","IMP dehydrogenase [EC:1.1.1.205]",NA,"Core"
"K00096","glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]",NA,"Core"
"K00111","glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]",NA,"Core"
"K00112","glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]",NA,"Core"
"K00113","glycerol-3-phosphate dehydrogenase subunit C",NA,"Core"
"K00133","aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]",NA,"Core"
"K00135","succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]",NA,"Core"
"K00150","glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]",NA,"Core"
"K00174","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]",NA,"Core"
"K00175","2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]",NA,"Core"
"K00184","dimethyl sulfoxide reductase iron-sulfur subunit",NA,"Core"
"K00185","dimethyl sulfoxide reductase membrane subunit",NA,"Core"
"K00239","succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]",NA,"Core"
