"Pathway","KO","protein_id","gene","product","Description"
"map00010","K00175","WP_010902808.1","QSJ49_RS05910","thiamine pyrophosphate-dependent enzyme","Glycolysis / Gluconeogenesis"
"map00010","K00016","WP_010903765.1","QSJ49_RS00415","malate dehydrogenase","Glycolysis / Gluconeogenesis"
"map00010","K01689","WP_010902821.1","QSJ49_RS05985","phosphopyruvate hydratase","Glycolysis / Gluconeogenesis"
"map00010","K00627","WP_010903647.1","QSJ49_RS10315","dihydrolipoamide acetyltransferase family protein","Glycolysis / Gluconeogenesis"
"map00010","K01803","WP_010902734.1","QSJ49_RS05510","triose-phosphate isomerase","Glycolysis / Gluconeogenesis"
"map00010","K00174","WP_010902308.1","QSJ49_RS03330","2-oxoacid:acceptor oxidoreductase subunit alpha","Glycolysis / Gluconeogenesis"
"map00010","K25026","WP_136361000.1","QSJ49_RS01520","ROK family protein","Glycolysis / Gluconeogenesis"
"map00010","K01895","WP_136361311.1","QSJ49_RS05375","acetate--CoA ligase","Glycolysis / Gluconeogenesis"
"map00010","K15778","WP_205251141.1","QSJ49_RS10265","phosphoglucosamine mutase","Glycolysis / Gluconeogenesis"
"map00010","K00174","WP_012289282.1","QSJ49_RS05915","2-oxoacid:acceptor oxidoreductase subunit alpha","Glycolysis / Gluconeogenesis"
"map00010","K00128","WP_010903877.1","QSJ49_RS01040","aldehyde dehydrogenase family protein","Glycolysis / Gluconeogenesis"
"map00010","K03841","WP_205251605.1","QSJ49_RS04190","class 1 fructose-1-2C6-bisphosphatase","Glycolysis / Gluconeogenesis"
"map00010","K00927","WP_136361431.1","QSJ49_RS06290","phosphoglycerate kinase","Glycolysis / Gluconeogenesis"
"map00010","K00150","WP_205251345.1","QSJ49_RS01890","type II glyceraldehyde-3-phosphate dehydrogenase","Glycolysis / Gluconeogenesis"
"map00010","K00873","WP_010902196.1","QSJ49_RS02765","pyruvate kinase","Glycolysis / Gluconeogenesis"
"map00010","K15633","WP_205251003.1","QSJ49_RS08950","2-2C3-bisphosphoglycerate-independent phosphoglycerate mutase","Glycolysis / Gluconeogenesis"
"map00010","K16306","WP_010902183.1","QSJ49_RS02700","2-amino-3-2C7-dideoxy-D-threo-hept-6-ulosonate synthase","Glycolysis / Gluconeogenesis"
"map00010","K00175","WP_010902307.1","QSJ49_RS03325","2-oxoacid:ferredoxin oxidoreductase subunit beta","Glycolysis / Gluconeogenesis"
"map00010","K01007","WP_205251441.1","QSJ49_RS02785","pyruvate-2C water dikinase","Glycolysis / Gluconeogenesis"
"map00010","K00382","WP_205251148.1","QSJ49_RS10320","dihydrolipoyl dehydrogenase","Glycolysis / Gluconeogenesis"
"map00010","K11645","WP_010902472.1","QSJ49_RS04185","class I fructose-bisphosphate aldolase","Glycolysis / Gluconeogenesis"
"map00010","K01895","WP_205251514.1","QSJ49_RS03370","AMP-binding protein","Glycolysis / Gluconeogenesis"
"map00010","K00162","WP_205251147.1","QSJ49_RS10310","alpha-ketoacid dehydrogenase subunit beta","Glycolysis / Gluconeogenesis"
"map00010","K01810","WP_205251055.1","QSJ49_RS09370","glucose-6-phosphate isomerase","Glycolysis / Gluconeogenesis"
"map00020","K00239","WP_010902947.1","QSJ49_RS06645","FAD-binding protein","Citrate cycle (TCA cycle)"
"map00020","K27802","WP_010903922.1","QSJ49_RS01285","aconitate hydratase","Citrate cycle (TCA cycle)"
"map00020","K00627","WP_010903647.1","QSJ49_RS10315","dihydrolipoamide acetyltransferase family protein","Citrate cycle (TCA cycle)"
"map00020","K00175","WP_010902808.1","QSJ49_RS05910","thiamine pyrophosphate-dependent enzyme","Citrate cycle (TCA cycle)"
"map00020","K00242","WP_010902949.1","QSJ49_RS06655","succinate dehydrogenase hydrophobic membrane anchor subunit","Citrate cycle (TCA cycle)"
