Protein_ID,Organism,Original_ID,RBH_Partner_IDs
HS|WP_010890450.1,HS,WP_010890450.1,None
HS|WP_010890451.1,HS,WP_010890451.1,None
HS|WP_010890452.1,HS,WP_010890452.1,None
HS|WP_010890455.1,HS,WP_010890455.1,None
HS|WP_010890457.1,HS,WP_010890457.1,None
HS|WP_010890461.1,HS,WP_010890461.1,None
HS|WP_010902012.1,HS,WP_010902012.1,None
HS|WP_010902018.1,HS,WP_010902018.1,None
HS|WP_010902060.1,HS,WP_010902060.1,None
HS|WP_010902069.1,HS,WP_010902069.1,None
HS|WP_010902081.1,HS,WP_010902081.1,None
HS|WP_010902086.1,HS,WP_010902086.1,None
HS|WP_010902088.1,HS,WP_010902088.1,None
HS|WP_010902129.1,HS,WP_010902129.1,None
HS|WP_010902139.1,HS,WP_010902139.1,None
HS|WP_010902163.1,HS,WP_010902163.1,None
HS|WP_010902173.1,HS,WP_010902173.1,None
HS|WP_010902175.1,HS,WP_010902175.1,None
HS|WP_010902194.1,HS,WP_010902194.1,None
HS|WP_010902195.1,HS,WP_010902195.1,None
HS|WP_010902201.1,HS,WP_010902201.1,None
HS|WP_010902206.1,HS,WP_010902206.1,None
HS|WP_010902215.1,HS,WP_010902215.1,None
HS|WP_010902225.1,HS,WP_010902225.1,None
HS|WP_010902240.1,HS,WP_010902240.1,None
HS|WP_010902250.1,HS,WP_010902250.1,None
HS|WP_010902262.1,HS,WP_010902262.1,None
HS|WP_010902264.1,HS,WP_010902264.1,None
HS|WP_010902270.1,HS,WP_010902270.1,None
HS|WP_010902276.1,HS,WP_010902276.1,None
HS|WP_010902282.1,HS,WP_010902282.1,None
HS|WP_010902297.1,HS,WP_010902297.1,None
HS|WP_010902306.1,HS,WP_010902306.1,None
HS|WP_010902320.1,HS,WP_010902320.1,None
HS|WP_010902326.1,HS,WP_010902326.1,None
HS|WP_010902337.1,HS,WP_010902337.1,None
HS|WP_010902342.1,HS,WP_010902342.1,None
HS|WP_010902344.1,HS,WP_010902344.1,None
HS|WP_010902381.1,HS,WP_010902381.1,None
HS|WP_010902389.1,HS,WP_010902389.1,None
HS|WP_010902390.1,HS,WP_010902390.1,None
HS|WP_010902395.1,HS,WP_010902395.1,None
HS|WP_010902408.1,HS,WP_010902408.1,None
HS|WP_010902410.1,HS,WP_010902410.1,None
HS|WP_010902413.1,HS,WP_010902413.1,None
HS|WP_010902437.1,HS,WP_010902437.1,None
HS|WP_010902444.1,HS,WP_010902444.1,None
HS|WP_010902448.1,HS,WP_010902448.1,None
HS|WP_010902451.1,HS,WP_010902451.1,None
HS|WP_010902474.1,HS,WP_010902474.1,None
HS|WP_010902479.1,HS,WP_010902479.1,None
HS|WP_010902481.1,HS,WP_010902481.1,None
HS|WP_010902483.1,HS,WP_010902483.1,None
HS|WP_010902484.1,HS,WP_010902484.1,None
HS|WP_010902494.1,HS,WP_010902494.1,None
HS|WP_010902499.1,HS,WP_010902499.1,None
HS|WP_010902503.1,HS,WP_010902503.1,None
HS|WP_010902505.1,HS,WP_010902505.1,None
HS|WP_010902512.1,HS,WP_010902512.1,None
HS|WP_010902514.1,HS,WP_010902514.1,None
HS|WP_010902515.1,HS,WP_010902515.1,None
HS|WP_010902522.1,HS,WP_010902522.1,None
HS|WP_010902529.1,HS,WP_010902529.1,None
HS|WP_010902536.1,HS,WP_010902536.1,None
HS|WP_010902555.1,HS,WP_010902555.1,None
HS|WP_010902579.1,HS,WP_010902579.1,None
HS|WP_010902591.1,HS,WP_010902591.1,None
HS|WP_010902596.1,HS,WP_010902596.1,None
HS|WP_010902597.1,HS,WP_010902597.1,None
HS|WP_010902604.1,HS,WP_010902604.1,None
HS|WP_010902612.1,HS,WP_010902612.1,None
HS|WP_010902613.1,HS,WP_010902613.1,None
HS|WP_010902637.1,HS,WP_010902637.1,None
HS|WP_010902638.1,HS,WP_010902638.1,None
HS|WP_010902641.1,HS,WP_010902641.1,None
