Protein_ID,Organism,Original_ID,RBH_Partner_IDs
HM|WP_015762798.1,HM,WP_015762798.1,HS|WP_010903248.1
HM|WP_015763493.1,HM,WP_015763493.1,HS|WP_205251834.1
HM|WP_015763973.1,HM,WP_015763973.1,HS|WP_010902025.1
HM|WP_153554216.1,HM,WP_153554216.1,HS|WP_010902128.1
HM|WP_170093154.1,HM,WP_170093154.1,HS|WP_205251705.1
HM|WP_170093414.1,HM,WP_170093414.1,HS|WP_010903836.1
HM|WP_170093423.1,HM,WP_170093423.1,HS|WP_338416955.1
HM|WP_170094473.1,HM,WP_170094473.1,HS|WP_010903445.1
HM|WP_206039116.1,HM,WP_206039116.1,HS|WP_010903509.1
HM|WP_208628127.1,HM,WP_208628127.1,HS|WP_010903282.1
HM|WP_372480085.1,HM,WP_372480085.1,HS|WP_205251310.1
HM|WP_372480799.1,HM,WP_372480799.1,HS|WP_205251890.1
HM|WP_372480939.1,HM,WP_372480939.1,HS|WP_012289707.1
HS|WP_010902025.1,HS,WP_010902025.1,HM|WP_015763973.1
HS|WP_010902253.1,HS,WP_010902253.1,HM|WP_372480441.1
HS|WP_010902294.1,HS,WP_010902294.1,HM|WP_153552946.1
HS|WP_010902385.1,HS,WP_010902385.1,HM|WP_153553756.1
HS|WP_010903282.1,HS,WP_010903282.1,HM|WP_208628127.1
HS|WP_010903445.1,HS,WP_010903445.1,HM|WP_170094473.1
HS|WP_010903509.1,HS,WP_010903509.1,HM|WP_206039116.1
HS|WP_010903836.1,HS,WP_010903836.1,HM|WP_170093414.1
HS|WP_010903915.1,HS,WP_010903915.1,HM|WP_240936983.1
HS|WP_012289114.1,HS,WP_012289114.1,HM|WP_372480275.1
HS|WP_012289342.1,HS,WP_012289342.1,HM|WP_372479111.1
HS|WP_012289398.1,HS,WP_012289398.1,HM|WP_372479416.1
HS|WP_012289446.1,HS,WP_012289446.1,HM|WP_372479820.1
HS|WP_012289498.1,HS,WP_012289498.1,HM|WP_153552253.1
HS|WP_012289707.1,HS,WP_012289707.1,HM|WP_372480939.1
HS|WP_049892592.1,HS,WP_049892592.1,HM|WP_170094955.1
HS|WP_136361235.1,HS,WP_136361235.1,HM|WP_170092624.1
HS|WP_205250864.1,HS,WP_205250864.1,HM|WP_372479017.1
HS|WP_205251070.1,HS,WP_205251070.1,HM|WP_372479794.1
HS|WP_205251082.1,HS,WP_205251082.1,HM|WP_372480583.1
HS|WP_205251310.1,HS,WP_205251310.1,HM|WP_372480085.1
HS|WP_205251369.1,HS,WP_205251369.1,HM|WP_372480418.1
HS|WP_205251437.1,HS,WP_205251437.1,HM|WP_015763936.1
HS|WP_205251454.1,HS,WP_205251454.1,HM|WP_372480527.1
HS|WP_205251497.1,HS,WP_205251497.1,HM|WP_372478875.1
HS|WP_205251705.1,HS,WP_205251705.1,HM|WP_170093154.1
HS|WP_205251834.1,HS,WP_205251834.1,HM|WP_015763493.1
HS|WP_205251890.1,HS,WP_205251890.1,HM|WP_372480799.1
HS|WP_285271476.1,HS,WP_285271476.1,HM|WP_372480646.1
HS|WP_338416955.1,HS,WP_338416955.1,HM|WP_170093423.1
