"KO","name","definition"
"K00001","alcohol dehydrogenase [EC:1.1.1.1]",NA
"K00008","L-iditol 2-dehydrogenase [EC:1.1.1.14]",NA
"K00019","3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]",NA
"K00123","formate dehydrogenase major subunit [EC:1.17.1.9]",NA
"K00124","formate dehydrogenase iron-sulfur subunit",NA
"K00249","acyl-CoA dehydrogenase [EC:1.3.8.7]",NA
"K00297","methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]",NA
"K00309","dimethylglycine oxidase [EC:1.5.3.10]",NA
"K00335","NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]",NA
"K00339","NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]",NA
"K00372","assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]",NA
"K00376","nitrous-oxide reductase [EC:1.7.2.4]",NA
"K00662","aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]",NA
"K00697","trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]",NA
"K00705","4-alpha-glucanotransferase [EC:2.4.1.25]",NA
"K00782","L-lactate dehydrogenase complex protein LldG",NA
"K00830","alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]",NA
"K00848","rhamnulokinase [EC:2.7.1.5]",NA
"K01008","selenide, water dikinase [EC:2.7.9.3]",NA
"K01176","alpha-amylase [EC:3.2.1.1]",NA
"K01178","glucoamylase [EC:3.2.1.3]",NA
"K01187","alpha-glucosidase [EC:3.2.1.20]",NA
"K01428","urease subunit alpha [EC:3.5.1.5]",NA
"K01429","urease subunit beta [EC:3.5.1.5]",NA
"K01430","urease subunit gamma [EC:3.5.1.5]",NA
"K01439","succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]",NA
"K01464","dihydropyrimidinase [EC:3.5.2.2]",NA
"K01501","nitrilase [EC:3.5.5.1]",NA
"K01537","P-type Ca2+ transporter type 2C [EC:7.2.2.10]",NA
"K01552","energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]",NA
"K01560","2-haloacid dehalogenase [EC:3.8.1.2]",NA
"K01628","L-fuculose-phosphate aldolase [EC:4.1.2.17]",NA
"K01777","proline racemase [EC:5.1.1.4]",NA
"K01912","phenylacetate-CoA ligase [EC:6.2.1.30]",NA
"K01938","formate--tetrahydrofolate ligase [EC:6.3.4.3]",NA
"K02008","cobalt/nickel transport system permease protein",NA
"K02029","polar amino acid transport system permease protein",NA
"K02030","polar amino acid transport system substrate-binding protein",NA
"K02168","choline/glycine/proline betaine transport protein",NA
"K02575","MFS transporter, NNP family, nitrate/nitrite transporter",NA
"K02609","ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]",NA
"K02611","ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC [EC:1.14.13.149]",NA
"K02614","acyl-CoA thioesterase [EC:3.1.2.-]",NA
"K02770","fructose PTS system EIIBC or EIIC component [EC:2.7.1.202]",NA
"K02784","phosphocarrier protein HPr",NA
"K03187","urease accessory protein",NA
"K03188","urease accessory protein",NA
"K03189","urease accessory protein",NA
"K03190","urease accessory protein",NA
"K03303","lactate permease",NA
"K03328","polysaccharide transporter, PST family",NA
"K03423","bis-gamma-glutamylcystine reductase [EC:1.8.1.13]",NA
"K03453","bile acid:Na+ symporter, BASS family",NA
"K03518","aerobic carbon-monoxide dehydrogenase small subunit [EC:1.2.5.3]",NA
"K03553","recombination protein RecA",NA
"K03658","DNA helicase IV [EC:5.6.2.4]",NA
"K03738","aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]",NA
"K03926","periplasmic divalent cation tolerance protein",NA
"K04486","histidinol-phosphatase (PHP family) [EC:3.1.3.15]",NA
"K04719","5,6-dimethylbenzimidazole synthase [EC:1.13.11.79]",NA
"K04751","nitrogen regulatory protein P-II 1",NA
"K05772","tungstate transport system substrate-binding protein",NA
"K05773","tungstate transport system permease protein",NA
"K06015","N-acyl-D-amino-acid deacylase [EC:3.5.1.81]",NA
"K06016","beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]",NA
