Protein_ID,Organism,Original_ID,RBH_Partner_IDs
HA|WP_004514908.1,HA,WP_004514908.1,HM|WP_153554456.1; HS|WP_010903942.1
HA|WP_004514919.1,HA,WP_004514919.1,HM|WP_012807841.1; HS|WP_010903955.1
HA|WP_004515010.1,HA,WP_004515010.1,HM|WP_012807698.1; HS|WP_010902100.1
HA|WP_004515272.1,HA,WP_004515272.1,HM|WP_153554399.1; HS|WP_010902668.1
HA|WP_004515335.1,HA,WP_004515335.1,HM|WP_153554630.1; HS|WP_012289528.1
HA|WP_004515500.1,HA,WP_004515500.1,HM|WP_015763347.1; HS|WP_205251823.1
HA|WP_004515550.1,HA,WP_004515550.1,HM|WP_015763363.1; HS|WP_010902914.1
HA|WP_004515723.1,HA,WP_004515723.1,HM|WP_015763696.1; HS|WP_010903037.1
HA|WP_004515935.1,HA,WP_004515935.1,HM|WP_015762002.1; HS|WP_010903601.1
HA|WP_004516241.1,HA,WP_004516241.1,HM|WP_012807936.1; HS|WP_012289220.1
HA|WP_004516266.1,HA,WP_004516266.1,HM|WP_153553424.1; HS|WP_012289276.1
HA|WP_004516474.1,HA,WP_004516474.1,HM|WP_015762043.1; HS|WP_012289514.1
HA|WP_004516675.1,HA,WP_004516675.1,HM|WP_153554176.1; HS|WP_010902263.1
HA|WP_004517194.1,HA,WP_004517194.1,HM|WP_170095022.1; HS|WP_010902164.1
HA|WP_004517708.1,HA,WP_004517708.1,HM|WP_015762108.1; HS|WP_010903690.1
HA|WP_004517917.1,HA,WP_004517917.1,HM|WP_015763052.1; HS|WP_012289341.1
HA|WP_004517945.1,HA,WP_004517945.1,HM|WP_015763487.1; HS|WP_010902779.1
HA|WP_004517946.1,HA,WP_004517946.1,HM|WP_015763486.1; HS|WP_010902778.1
HA|WP_004517952.1,HA,WP_004517952.1,HM|WP_018258646.1; HS|WP_010902769.1
HA|WP_004518404.1,HA,WP_004518404.1,HM|WP_153552425.1; HS|WP_010903482.1
HA|WP_004518536.1,HA,WP_004518536.1,HM|WP_153554019.1; HS|WP_205251416.1
HA|WP_004590290.1,HA,WP_004590290.1,HM|WP_372479816.1; HS|WP_136361551.1
HA|WP_004590574.1,HA,WP_004590574.1,HM|WP_015762147.1; HS|WP_010903504.1
HA|WP_004591044.1,HA,WP_004591044.1,HM|WP_153554554.1; HS|WP_010903982.1
HA|WP_004591318.1,HA,WP_004591318.1,HM|WP_018256205.1; HS|WP_010902171.1
HA|WP_004591539.1,HA,WP_004591539.1,HM|WP_015762719.1; HS|WP_010903196.1
HA|WP_004592453.1,HA,WP_004592453.1,HM|WP_015763361.1; HS|WP_010902916.1
HA|WP_004592822.1,HA,WP_004592822.1,HM|WP_170094310.1; HS|WP_010902535.1
HA|WP_004592831.1,HA,WP_004592831.1,HM|WP_018258663.1; HS|WP_010902537.1
HA|WP_004592944.1,HA,WP_004592944.1,HM|WP_015763884.1; HS|WP_205251461.1
HA|WP_004593332.1,HA,WP_004593332.1,HM|WP_015763403.1; HS|WP_012289329.1
HA|WP_004593490.1,HA,WP_004593490.1,HM|WP_170094590.1; HS|WP_010902883.1
HA|WP_004593526.1,HA,WP_004593526.1,HM|WP_015763560.1; HS|WP_010903863.1
HA|WP_004956717.1,HA,WP_004956717.1,HM|WP_049940806.1; HS|WP_010902783.1
HA|WP_004961170.1,HA,WP_004961170.1,HM|WP_170094198.1; HS|WP_205250796.1
HA|WP_004961693.1,HA,WP_004961693.1,HM|WP_170094328.1; HS|WP_205251706.1
HA|WP_005532887.1,HA,WP_005532887.1,HM|WP_015761721.1; HS|WP_136360916.1
HA|WP_005534398.1,HA,WP_005534398.1,HM|WP_170094085.1; HS|WP_012289339.1
HA|WP_005536716.1,HA,WP_005536716.1,HM|WP_170093149.1; HS|WP_010903541.1
